date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,25.92,30.42,21.27,79.26,0.0,18.63,1.31
2015-01-02,25.21,29.8,21.6,66.89,0.0,21.37,1.49
2015-01-03,22.45,27.82,18.26,62.88,0.0,18.77,2.41
2015-01-04,21.29,27.45,16.85,63.42,0.0,18.57,2.56
2015-01-05,20.27,26.37,15.2,64.45,0.0,18.33,2.3
2015-01-06,20.19,26.63,15.3,65.51,0.0,17.11,2.16
2015-01-07,21.39,28.03,16.58,66.54,0.0,17.97,2.14
2015-01-08,22.74,28.06,17.14,64.22,0.0,18.1,1.49
2015-01-09,20.89,28.02,15.69,63.51,0.0,19.38,2.87
2015-01-10,19.89,27.94,13.38,60.05,0.0,19.63,2.68
2015-01-11,19.61,27.16,13.34,58.48,0.0,19.04,2.62
2015-01-12,19.53,27.48,13.34,58.0,0.0,20.01,2.96
2015-01-13,20.55,27.83,13.13,57.39,0.0,19.75,2.37
2015-01-14,22.11,29.39,15.43,58.01,0.0,19.58,2.12
2015-01-15,22.62,29.1,15.39,61.73,0.0,20.68,2.0
2015-01-16,24.25,29.61,18.08,57.0,0.0,19.97,1.62
2015-01-17,23.71,29.39,16.38,54.91,0.0,20.63,1.35
2015-01-18,24.4,30.93,18.34,62.39,0.02,19.62,0.95
2015-01-19,25.71,31.54,19.75,78.91,0.12,19.32,1.07
2015-01-20,26.25,31.49,21.22,80.53,0.28,19.75,0.97
2015-01-21,26.97,32.46,22.14,79.27,0.27,17.73,1.04
2015-01-22,26.75,31.61,22.25,81.93,0.12,16.14,1.5
2015-01-23,26.92,31.92,22.36,79.89,0.07,16.49,1.29
2015-01-24,26.73,31.74,22.32,82.37,0.14,16.66,1.65
2015-01-25,25.96,29.34,22.85,87.06,0.3,14.97,1.46
2015-01-26,26.23,29.75,22.8,85.54,0.19,15.32,1.25
2015-01-27,26.02,29.33,23.47,87.85,0.15,15.09,1.81
2015-01-28,26.44,30.55,22.88,84.2,0.18,13.05,1.49
2015-01-29,26.28,30.03,22.73,82.94,0.11,17.07,1.03
2015-01-30,26.68,31.44,22.49,81.85,0.08,17.42,1.08
2015-01-31,26.74,30.99,22.88,83.1,0.02,16.64,1.17
2015-02-01,26.47,30.0,22.8,83.45,0.02,14.54,1.33
2015-02-02,27.21,32.67,22.38,80.79,0.01,19.74,1.23
2015-02-03,27.22,31.37,23.35,82.71,0.12,16.77,1.54
2015-02-04,27.5,32.2,23.38,80.47,0.06,17.27,1.36
2015-02-05,27.17,31.88,23.5,84.17,0.83,18.28,1.55
2015-02-06,26.97,30.68,23.9,86.09,1.43,18.83,1.51
2015-02-07,26.91,30.39,23.96,87.61,1.35,17.23,1.56
2015-02-08,26.85,30.45,24.12,86.7,2.53,12.87,1.88
2015-02-09,27.15,32.03,22.75,82.78,0.94,15.84,1.58
2015-02-10,26.09,28.97,23.91,88.7,0.09,19.03,1.47
2015-02-11,26.61,30.68,22.74,84.58,0.09,17.48,1.07
2015-02-12,26.21,29.19,23.66,88.98,0.18,18.32,1.56
2015-02-13,26.06,29.69,23.2,86.98,0.09,14.79,1.71
2015-02-14,26.01,29.44,23.12,86.42,0.06,19.09,1.53
2015-02-15,26.77,31.13,23.11,84.07,0.95,18.29,1.86
2015-02-16,26.89,31.71,23.23,83.83,0.93,18.4,1.8
2015-02-17,26.78,31.25,23.13,85.19,2.62,18.13,1.71
2015-02-18,25.57,27.83,23.38,87.22,8.12,13.33,1.47
2015-02-19,25.85,29.56,22.8,84.93,0.51,18.26,1.32
2015-02-20,26.71,31.22,22.9,83.56,1.16,18.53,1.88
2015-02-21,26.68,30.72,23.56,84.03,0.99,17.05,2.06
2015-02-22,26.29,29.77,23.59,87.44,2.97,14.03,1.96
2015-02-23,26.34,30.66,24.12,86.81,0.92,15.65,1.96
2015-02-24,26.2,28.8,23.77,87.21,2.77,14.77,1.01
2015-02-25,26.11,29.45,23.36,86.87,1.06,14.12,1.2
2015-02-26,25.52,28.57,23.36,89.56,1.29,11.91,1.53
2015-02-27,25.5,29.07,22.77,88.1,0.43,7.54,1.26
2015-02-28,27.18,31.78,22.75,80.1,0.2,18.6,0.83
2015-03-01,26.78,31.07,23.41,83.08,0.24,18.97,1.17
2015-03-02,27.27,32.39,22.62,78.86,0.04,19.54,1.27
2015-03-03,26.9,31.04,22.97,80.83,0.02,18.42,1.16
2015-03-04,26.71,31.58,22.97,79.28,0.01,17.66,1.42
2015-03-05,26.86,31.39,23.02,78.85,0.01,17.83,1.16
2015-03-06,26.43,30.24,23.24,85.32,0.02,17.84,1.02
2015-03-07,27.39,32.62,23.21,82.71,3.19,18.34,1.53
2015-03-08,27.17,31.82,23.74,83.73,5.73,17.04,1.84
2015-03-09,26.87,30.14,24.19,85.22,6.02,14.63,1.33
2015-03-10,26.32,29.28,24.19,89.79,4.16,17.34,1.29
2015-03-11,26.95,30.57,24.42,83.78,4.38,15.96,1.14
2015-03-12,27.67,32.39,23.34,79.95,1.11,21.9,0.8
2015-03-13,27.37,31.16,23.99,84.08,0.71,19.66,1.2
2015-03-14,27.79,31.69,23.88,82.77,0.82,19.49,1.23
2015-03-15,27.17,30.9,24.59,86.57,2.63,17.24,1.71
2015-03-16,25.55,28.18,23.87,84.96,1.34,13.5,1.7
2015-03-17,25.79,28.95,23.77,90.15,8.5,5.67,1.34
2015-03-18,26.73,30.83,23.38,83.74,2.36,17.47,1.34
2015-03-19,26.75,30.74,23.63,86.32,3.49,17.9,1.61
2015-03-20,26.07,28.79,24.0,90.04,8.34,17.76,1.57
2015-03-21,26.29,29.06,24.1,91.26,32.43,13.76,1.56
2015-03-22,25.94,29.19,24.26,89.62,1.68,16.15,2.06
2015-03-23,26.1,29.36,23.47,87.91,1.97,20.86,1.31
2015-03-24,26.39,30.07,23.79,87.83,6.94,19.43,1.54
2015-03-25,26.72,31.17,23.37,85.24,2.63,15.55,1.67
2015-03-26,26.63,30.8,24.13,85.95,10.39,20.2,2.11
2015-03-27,25.88,29.01,23.66,89.43,1.16,8.14,2.09
2015-03-28,26.06,29.33,23.37,87.8,1.62,19.72,1.93
2015-03-29,26.25,29.61,23.5,88.25,1.59,15.99,1.9
2015-03-30,26.04,29.29,23.69,88.25,5.06,16.7,1.27
2015-03-31,26.23,29.72,23.26,84.0,1.11,14.86,1.06
