date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,26.08,36.07,17.88,21.62,0.0,21.42,3.14
2015-01-02,25.01,35.35,15.96,22.56,0.0,20.4,3.0
2015-01-03,24.75,34.49,16.81,22.14,0.0,20.23,4.04
2015-01-04,23.74,32.67,15.88,19.62,0.0,14.84,3.02
2015-01-05,22.01,29.84,15.81,21.58,0.0,14.39,2.29
2015-01-06,21.71,29.19,14.92,22.4,0.0,19.47,2.5
2015-01-07,22.16,31.58,13.85,22.52,0.0,20.47,2.76
2015-01-08,22.54,32.52,14.32,22.1,0.0,18.4,3.31
2015-01-09,22.01,31.66,13.27,20.97,0.0,17.53,3.9
2015-01-10,20.61,30.79,11.83,19.09,0.0,17.12,3.76
2015-01-11,19.78,29.71,10.92,21.42,0.0,19.54,2.91
2015-01-12,20.19,30.19,11.01,21.8,0.0,20.63,2.83
2015-01-13,20.79,31.52,10.4,18.74,0.0,23.17,2.51
2015-01-14,22.2,33.46,11.41,18.17,0.0,23.4,2.38
2015-01-15,23.32,33.88,13.35,18.21,0.0,22.86,2.67
2015-01-16,23.41,33.85,13.71,20.41,0.0,22.2,2.19
2015-01-17,23.65,33.91,13.44,18.54,0.0,23.25,1.72
2015-01-18,25.47,35.13,15.09,16.17,0.0,23.66,1.66
2015-01-19,25.24,35.13,15.17,17.78,0.0,23.27,1.58
2015-01-20,27.0,36.09,17.19,18.07,0.0,22.72,1.3
2015-01-21,28.02,37.4,18.54,18.98,0.0,22.81,1.76
2015-01-22,27.93,39.36,17.94,14.28,0.0,22.17,3.0
2015-01-23,28.33,39.16,18.88,11.67,0.0,23.5,2.62
2015-01-24,28.36,38.88,19.07,11.31,0.0,23.6,1.75
2015-01-25,27.95,37.82,18.59,17.0,0.0,22.46,1.41
2015-01-26,28.69,39.38,18.57,19.87,0.0,21.73,1.97
2015-01-27,29.85,39.58,20.47,19.43,0.0,19.55,2.79
2015-01-28,29.51,38.55,21.49,17.55,0.0,22.9,2.97
2015-01-29,27.64,37.04,19.05,14.38,0.0,22.37,2.61
2015-01-30,27.79,37.15,18.43,15.42,0.0,22.33,2.1
2015-01-31,28.59,38.25,19.8,15.64,0.0,23.0,2.39
2015-02-01,30.35,40.19,20.89,17.49,0.0,24.02,2.92
2015-02-02,31.39,40.92,22.36,15.68,0.0,21.29,3.02
2015-02-03,30.79,41.31,21.18,14.96,0.0,21.8,3.38
2015-02-04,31.27,41.59,21.98,15.91,0.0,23.49,3.34
2015-02-05,31.57,41.8,21.5,15.62,0.0,21.03,1.85
2015-02-06,31.5,41.41,21.44,17.14,0.0,22.55,1.87
2015-02-07,31.81,41.86,22.61,14.93,0.0,23.83,1.7
2015-02-08,31.3,41.72,22.65,14.4,0.0,22.6,2.1
2015-02-09,32.04,42.09,22.45,14.45,0.0,22.57,2.36
2015-02-10,30.87,41.14,21.26,10.45,0.0,23.44,3.02
2015-02-11,30.87,41.52,21.3,10.32,0.0,23.15,3.12
2015-02-12,30.34,39.98,20.92,11.43,0.0,19.75,4.03
2015-02-13,30.04,40.16,21.53,12.41,0.0,21.77,2.78
2015-02-14,30.38,40.1,22.25,12.26,0.0,23.21,1.63
2015-02-15,30.06,38.5,22.48,30.1,0.0,23.83,2.28
2015-02-16,30.52,38.23,23.39,38.17,0.0,23.41,2.86
2015-02-17,31.14,38.01,24.55,44.11,0.0,21.14,2.52
2015-02-18,31.63,38.4,26.95,38.53,0.01,16.95,2.29
