date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,26.63,29.8,23.19,80.43,0.0,18.63,1.18
2015-01-02,26.3,30.33,22.82,71.97,0.0,21.37,1.39
2015-01-03,23.83,29.25,19.1,67.58,0.0,18.77,2.06
2015-01-04,23.69,29.39,19.49,71.19,0.0,18.57,1.54
2015-01-05,22.48,29.31,17.12,69.98,0.0,18.33,1.56
2015-01-06,23.03,29.82,17.75,70.63,0.0,17.11,1.16
2015-01-07,24.12,30.33,19.43,73.85,0.0,17.97,1.04
2015-01-08,24.67,29.73,19.91,73.88,0.0,18.1,1.17
2015-01-09,24.05,30.05,18.68,73.56,0.0,19.38,1.55
2015-01-10,22.14,29.66,15.07,69.91,0.0,19.63,1.78
2015-01-11,21.54,29.21,14.72,67.81,0.0,19.04,2.11
2015-01-12,21.08,28.62,14.77,63.07,0.0,20.01,2.57
2015-01-13,22.73,30.02,15.48,65.3,0.0,19.75,1.43
2015-01-14,24.11,30.86,18.13,64.08,0.0,19.58,1.43
2015-01-15,24.03,30.19,17.98,67.45,0.0,20.68,1.18
2015-01-16,25.84,30.71,22.33,66.42,0.0,19.97,0.93
2015-01-17,25.35,30.54,19.89,63.82,0.01,20.63,1.05
2015-01-18,25.37,31.1,20.27,71.73,0.09,19.62,1.17
2015-01-19,26.38,31.35,22.19,82.11,0.28,19.32,1.14
2015-01-20,26.75,31.28,23.19,82.74,0.4,19.75,1.11
2015-01-21,27.53,32.54,23.76,79.64,0.58,17.73,1.03
2015-01-22,27.15,31.12,23.42,83.67,0.28,16.14,1.57
2015-01-23,27.26,31.47,23.93,84.03,0.56,16.49,1.45
2015-01-24,27.01,30.87,23.86,84.85,1.06,16.66,1.9
2015-01-25,26.27,28.99,23.96,88.21,2.09,14.97,1.63
2015-01-26,26.55,29.38,23.84,86.61,0.25,15.32,1.24
2015-01-27,26.4,29.23,24.01,87.66,0.17,15.09,1.36
2015-01-28,26.47,29.55,23.66,86.06,0.21,13.05,1.5
2015-01-29,26.53,29.48,23.84,85.67,0.16,17.07,1.29
