date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,25.83,30.83,21.1,78.25,0.0,19.41,1.45
2015-01-02,24.96,29.85,21.01,66.6,0.0,20.99,1.65
2015-01-03,22.49,28.74,18.1,61.23,0.0,17.87,2.41
2015-01-04,20.86,27.78,15.36,62.25,0.0,19.17,2.69
2015-01-05,20.22,26.58,14.58,61.0,0.0,16.03,2.5
2015-01-06,19.96,26.12,14.8,62.83,0.0,15.82,2.37
2015-01-07,21.19,28.2,15.93,62.02,0.0,18.4,2.65
2015-01-08,21.63,27.22,17.18,62.62,0.0,18.25,2.46
2015-01-09,20.57,28.15,14.93,59.3,0.0,18.86,3.35
2015-01-10,19.57,27.56,13.64,54.94,0.0,20.51,3.48
2015-01-11,19.29,27.04,12.65,55.67,0.0,18.39,2.97
2015-01-12,19.37,27.43,12.77,54.85,0.0,20.17,3.23
2015-01-13,20.02,27.81,12.7,54.82,0.0,20.26,2.85
2015-01-14,21.56,29.46,14.57,57.33,0.0,20.13,2.44
2015-01-15,21.81,28.97,14.96,57.35,0.0,21.17,2.26
2015-01-16,23.33,29.36,15.6,50.26,0.0,20.38,1.99
2015-01-17,23.11,29.14,15.25,52.64,0.0,18.9,1.76
2015-01-18,24.21,30.71,18.05,59.22,0.03,18.48,1.03
2015-01-19,25.19,31.29,18.79,77.0,0.08,18.38,1.23
2015-01-20,25.97,31.69,20.36,78.79,0.1,19.08,1.08
2015-01-21,26.74,32.32,21.82,78.97,0.03,17.02,1.26
2015-01-22,26.87,32.38,22.06,80.87,0.01,17.95,1.68
2015-01-23,26.97,31.83,22.23,79.14,0.01,16.03,1.43
2015-01-24,26.79,31.47,22.56,82.17,0.02,16.78,2.01
2015-01-25,26.18,29.72,22.69,85.58,0.04,15.46,1.64
2015-01-26,26.3,29.99,23.01,85.39,0.23,13.16,1.57
2015-01-27,25.94,29.48,23.43,88.19,0.22,12.66,2.01
2015-01-28,26.38,30.52,22.74,84.63,0.21,14.77,1.64
2015-01-29,26.61,30.73,22.77,81.79,0.11,15.72,1.06
2015-01-30,26.63,30.96,22.72,82.53,0.17,16.54,1.25
2015-01-31,26.83,31.04,23.11,83.0,0.01,16.09,1.35
2015-02-01,26.97,31.37,22.79,81.72,0.01,13.55,1.43
2015-02-02,27.26,32.23,22.76,80.52,0.0,16.11,1.4
2015-02-03,27.23,31.75,23.2,81.75,0.02,16.67,1.56
2015-02-04,27.44,32.16,23.4,80.24,0.01,16.62,1.39
2015-02-05,27.59,32.08,23.96,81.96,0.31,16.62,1.8
2015-02-06,27.19,30.75,24.29,85.08,0.64,16.7,1.88
2015-02-07,27.02,30.56,23.91,86.63,0.5,14.44,1.91
2015-02-08,26.98,30.59,24.15,85.78,1.16,14.29,2.22
2015-02-09,27.29,32.04,22.82,82.08,0.54,15.98,1.75
2015-02-10,26.22,29.01,24.04,88.19,0.23,16.72,1.56
2015-02-11,26.62,30.47,23.09,84.86,0.11,16.94,1.18
2015-02-12,26.18,29.16,23.75,88.8,0.33,16.94,1.81
