date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,22.14,31.46,14.29,20.03,0.0,19.36,3.36
2015-01-02,21.14,30.71,13.27,20.57,0.0,19.67,3.29
2015-01-03,20.57,30.08,12.84,21.08,0.0,21.6,4.44
2015-01-04,18.89,26.64,12.39,18.81,0.0,18.67,4.06
2015-01-05,18.37,27.11,11.65,21.43,0.0,14.18,3.51
2015-01-06,18.18,27.19,10.86,23.03,0.0,19.87,3.4
2015-01-07,18.33,27.64,10.57,21.8,0.0,20.86,3.55
2015-01-08,18.9,28.02,11.67,22.24,0.0,15.34,3.78
2015-01-09,18.27,26.9,11.22,22.45,0.0,16.09,4.38
2015-01-10,17.16,26.45,9.5,19.93,0.0,16.36,4.74
2015-01-11,16.29,25.02,9.03,22.59,0.0,18.32,3.77
2015-01-12,16.31,26.12,8.65,21.27,0.0,18.12,3.81
2015-01-13,16.47,27.14,7.57,17.03,0.0,22.33,3.46
2015-01-14,18.29,29.71,8.36,18.06,0.0,22.1,3.27
2015-01-15,19.12,29.81,10.21,20.76,0.0,20.88,3.38
2015-01-16,19.5,29.8,11.01,20.0,0.0,21.21,3.13
2015-01-17,20.03,31.16,10.76,18.68,0.0,20.76,2.43
2015-01-18,21.43,32.78,11.45,17.17,0.0,21.85,1.82
2015-01-19,22.52,33.37,11.99,16.74,0.0,21.91,1.35
2015-01-20,25.19,34.49,17.87,15.28,0.0,22.04,1.41
2015-01-21,25.69,35.27,17.5,16.29,0.0,22.25,1.63
2015-01-22,24.88,35.79,15.26,15.81,0.0,22.17,3.33
2015-01-23,25.44,36.3,16.36,15.64,0.0,22.55,3.32
2015-01-24,25.83,36.21,16.85,15.21,0.0,23.19,2.75
2015-01-25,25.92,35.72,16.36,18.73,0.0,18.59,1.93
2015-01-26,25.79,35.44,17.26,19.04,0.0,17.51,2.32
2015-01-27,26.05,35.18,18.64,19.84,0.0,19.0,2.99
2015-01-28,25.23,34.63,17.68,15.87,0.0,20.04,3.34
2015-01-29,23.52,33.23,15.2,14.25,0.0,23.48,3.17
2015-01-30,23.48,33.48,14.65,15.26,0.0,22.65,2.16
2015-01-31,24.56,34.57,15.7,18.43,0.0,21.19,2.2
2015-02-01,26.09,36.49,16.32,19.0,0.0,22.56,2.41
2015-02-02,27.7,37.76,18.89,17.89,0.0,23.55,2.95
2015-02-03,26.93,37.49,17.27,14.91,0.0,22.08,3.21
2015-02-04,27.7,37.86,18.72,15.1,0.0,23.56,3.28
2015-02-05,28.6,39.11,19.13,15.99,0.0,23.15,2.39
2015-02-06,28.58,38.94,19.13,17.74,0.0,23.35,2.41
2015-02-07,28.93,39.31,19.23,16.42,0.0,22.11,2.59
2015-02-08,28.3,38.58,18.44,16.45,0.0,22.34,3.09
2015-02-09,28.92,38.69,20.26,14.94,0.0,23.03,3.18
2015-02-10,28.05,38.0,18.88,10.51,0.0,23.62,3.4
2015-02-11,28.14,37.74,19.92,10.67,0.0,23.03,4.18
2015-02-12,27.08,36.22,19.04,13.83,0.0,19.93,4.58
2015-02-13,26.28,35.88,17.57,11.82,0.0,21.87,3.6
2015-02-14,27.03,37.38,16.89,12.44,0.0,24.22,2.27
2015-02-15,27.77,37.26,18.38,12.3,0.0,24.48,1.47
2015-02-16,29.65,38.01,22.09,14.85,0.0,23.53,1.02
2015-02-17,29.32,37.44,20.76,23.31,0.0,21.72,1.94
2015-02-18,27.51,34.8,19.97,28.25,0.0,18.25,2.31
2015-02-19,28.18,36.78,20.09,23.5,0.0,21.06,2.25
2015-02-20,28.39,37.15,20.38,19.2,0.0,22.0,1.88
