date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,26.83,31.16,23.16,82.55,0.0,16.92,1.0
2015-01-02,26.52,31.49,23.14,79.36,0.0,19.09,1.24
2015-01-03,24.53,28.36,20.96,64.39,0.0,17.47,1.57
2015-01-04,22.88,27.04,18.54,61.35,0.0,18.2,2.02
2015-01-05,21.5,25.73,16.2,63.08,0.0,16.42,1.61
2015-01-06,21.33,27.22,16.4,68.49,0.0,15.67,1.59
2015-01-07,22.22,28.73,16.61,69.99,0.0,17.95,1.58
2015-01-08,22.91,27.9,18.07,65.27,0.0,20.05,1.34
2015-01-09,21.93,27.71,17.18,68.39,0.0,18.27,2.13
2015-01-10,20.64,27.82,13.85,67.65,0.0,18.92,2.12
2015-01-11,20.52,27.16,14.81,64.48,0.0,17.9,2.06
2015-01-12,20.36,27.58,14.2,64.59,0.0,19.47,2.17
2015-01-13,21.4,28.44,13.52,62.94,0.0,19.65,1.62
2015-01-14,23.4,30.22,16.56,63.43,0.0,19.99,1.3
2015-01-15,23.99,28.88,17.84,57.65,0.0,19.56,1.48
2015-01-16,24.0,30.17,17.76,61.44,0.0,19.77,1.49
2015-01-17,23.9,29.99,17.29,67.79,0.02,19.69,1.33
2015-01-18,25.7,31.63,21.09,80.48,0.03,20.47,0.92
2015-01-19,26.01,31.57,21.47,83.77,0.12,20.21,1.39
2015-01-20,26.48,31.62,22.01,83.12,0.32,20.39,1.17
2015-01-21,27.03,32.13,23.02,82.53,0.01,18.48,1.1
2015-01-22,27.0,31.9,23.19,83.98,0.0,16.99,1.44
2015-01-23,27.07,31.24,23.68,84.43,0.0,14.44,1.31
2015-01-24,26.89,31.05,23.93,84.66,0.01,16.41,1.78
2015-01-25,26.38,29.64,23.84,87.56,0.01,12.86,1.42
2015-01-26,26.42,29.63,23.81,88.03,0.69,12.32,1.28
2015-01-27,26.0,29.0,24.19,90.87,0.95,10.28,1.58
2015-01-28,26.46,29.88,23.93,87.47,0.75,9.01,1.41
2015-01-29,26.59,30.2,23.84,87.25,0.69,16.95,1.32
2015-01-30,26.88,30.78,23.62,85.77,0.74,16.17,1.19
2015-01-31,26.88,30.88,24.01,85.25,0.0,15.29,1.27
2015-02-01,27.05,31.27,23.71,84.98,0.0,15.6,1.3
2015-02-02,27.33,31.65,23.95,84.82,0.0,19.08,1.22
2015-02-03,27.38,31.32,24.5,85.6,0.01,15.81,1.71
2015-02-04,27.8,32.21,24.65,83.34,0.0,17.75,1.29
2015-02-05,27.3,31.48,24.28,86.05,1.68,16.6,1.62
2015-02-06,27.57,31.55,24.79,85.98,2.47,17.83,1.69
2015-02-07,27.23,30.62,25.0,87.74,1.81,17.02,1.66
2015-02-08,26.63,30.07,24.08,89.07,3.46,8.33,1.86
2015-02-09,27.01,31.33,23.53,85.3,1.43,16.88,1.35
2015-02-10,26.77,29.89,24.47,87.2,0.18,18.63,1.14
2015-02-11,26.9,30.13,24.29,88.75,0.22,15.73,1.22
2015-02-12,26.4,28.87,24.45,91.04,0.37,16.78,1.47
2015-02-13,26.35,29.81,24.11,88.02,0.21,13.87,1.44
2015-02-14,26.64,30.28,23.98,86.1,0.08,18.95,1.52
2015-02-15,27.26,31.83,24.1,83.28,1.14,19.6,1.83
2015-02-16,26.85,30.49,24.56,86.31,1.85,17.91,1.71
2015-02-17,26.92,30.82,24.07,87.47,5.6,18.27,1.65
2015-02-18,25.97,28.43,24.11,89.84,11.76,10.08,1.41
2015-02-19,26.34,30.29,23.41,85.81,1.02,19.25,1.59
2015-02-20,26.74,30.65,24.12,84.93,0.48,15.14,1.86
2015-02-21,26.75,30.72,24.21,86.66,0.74,12.41,1.78
2015-02-22,26.55,29.63,24.62,88.04,2.02,12.99,1.74
2015-02-23,27.01,30.99,24.39,86.57,0.9,15.1,1.73
2015-02-24,26.96,30.27,24.52,88.04,1.05,15.0,1.25
2015-02-25,26.63,29.35,24.82,89.68,0.75,11.73,1.32
2015-02-26,26.31,29.65,24.21,89.22,0.89,10.66,1.47
2015-02-27,26.24,29.62,23.84,88.38,0.48,8.03,1.21
2015-02-28,27.88,32.99,24.02,81.09,0.13,19.13,0.8
2015-03-01,27.42,31.22,24.39,84.62,0.35,18.6,1.15
2015-03-02,27.42,32.0,24.01,83.46,0.09,17.8,1.5
2015-03-03,27.26,31.53,24.02,84.31,0.09,19.0,1.21
2015-03-04,27.58,31.87,23.99,80.97,0.02,13.74,1.02
2015-03-05,27.51,31.96,24.11,82.88,0.02,17.96,0.98
2015-03-06,26.89,29.69,24.86,88.73,0.05,15.75,1.33
2015-03-07,27.34,31.8,24.29,85.74,1.85,18.65,1.56
2015-03-08,27.08,31.14,24.33,87.57,3.63,14.54,1.59
2015-03-09,27.1,30.22,25.17,87.02,4.5,11.23,1.44
2015-03-10,26.69,29.69,24.6,89.21,2.49,16.99,1.17
2015-03-11,26.73,29.89,24.53,87.14,2.81,14.06,1.27
2015-03-12,27.49,31.45,24.66,84.35,1.12,22.47,1.02
2015-03-13,27.1,30.25,24.56,88.53,0.93,18.03,1.36
2015-03-14,27.74,31.86,24.38,85.93,2.01,21.56,1.33
2015-03-15,26.92,29.91,25.0,89.45,3.43,15.26,1.51
2015-03-16,26.53,29.27,24.66,88.88,1.28,12.41,1.32
2015-03-17,26.19,28.19,24.8,92.2,9.04,3.56,1.31
2015-03-18,26.62,29.52,24.14,87.77,3.43,18.1,1.01
2015-03-19,26.59,29.22,24.47,90.64,4.0,19.36,1.39
