date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,21.59,30.71,14.0,19.59,0.0,19.54,3.34
2015-01-02,21.68,31.32,14.41,23.53,0.0,18.22,3.49
2015-01-03,21.34,30.72,13.68,20.77,0.0,20.89,4.5
2015-01-04,19.22,26.93,12.94,17.52,0.0,17.81,4.41
2015-01-05,18.11,26.89,11.08,23.07,0.0,18.37,3.47
2015-01-06,18.2,26.74,10.71,23.48,0.0,20.73,3.57
2015-01-07,19.24,28.81,11.05,20.54,0.0,20.28,3.91
2015-01-08,19.26,27.15,12.46,24.3,0.0,14.31,4.69
2015-01-09,18.21,26.86,11.24,21.9,0.0,17.08,5.08
2015-01-10,16.78,25.38,9.52,21.82,0.0,19.56,5.07
2015-01-11,16.36,25.27,8.91,25.23,0.0,19.78,4.54
2015-01-12,15.97,25.84,8.07,21.53,0.0,22.13,4.0
2015-01-13,16.49,27.81,6.71,18.49,0.0,22.85,3.16
2015-01-14,17.87,29.32,7.61,20.56,0.0,23.09,3.28
2015-01-15,19.1,29.58,10.09,25.28,0.0,21.87,3.74
2015-01-16,19.04,29.88,10.35,20.11,0.0,22.34,3.36
2015-01-17,19.49,30.61,9.72,18.9,0.0,22.73,2.37
2015-01-18,20.51,32.13,10.42,18.7,0.0,22.4,1.89
2015-01-19,21.52,33.12,11.17,17.03,0.0,22.9,1.78
2015-01-20,23.48,34.66,13.05,14.25,0.0,23.22,1.57
2015-01-21,24.04,35.64,13.72,14.14,0.0,23.43,2.15
2015-01-22,24.63,36.4,14.76,13.35,0.0,22.95,3.08
2015-01-23,24.88,36.46,14.77,14.08,0.0,22.79,2.83
2015-01-24,25.4,36.71,15.39,15.23,0.0,23.21,2.29
2015-01-25,26.05,36.57,16.8,18.28,0.0,21.57,2.7
2015-01-26,26.19,36.69,17.32,18.27,0.0,20.6,2.99
2015-01-27,26.25,36.36,17.78,19.32,0.0,17.85,3.27
2015-01-28,24.8,34.19,17.33,14.43,0.0,22.53,3.75
2015-01-29,23.03,32.42,15.41,11.82,0.0,21.42,3.72
2015-01-30,23.25,33.09,14.79,11.91,0.0,22.79,2.8
2015-01-31,24.2,34.21,15.32,13.82,0.0,23.23,2.65
2015-02-01,26.08,37.28,16.06,14.63,0.0,23.46,2.77
2015-02-02,27.33,38.42,17.44,14.26,0.0,23.37,2.82
2015-02-03,26.81,37.89,16.85,13.15,0.0,21.7,3.06
2015-02-04,27.88,38.65,18.96,13.0,0.0,23.66,3.32
2015-02-05,28.39,39.49,18.96,16.14,0.0,23.3,2.69
2015-02-06,28.96,39.91,19.7,12.84,0.0,22.82,2.96
2015-02-07,28.99,40.16,19.24,13.77,0.0,23.92,3.16
2015-02-08,29.25,39.65,20.71,13.84,0.0,23.35,3.78
2015-02-09,27.9,38.78,18.53,10.43,0.0,24.18,3.36
2015-02-10,27.07,38.31,17.26,11.36,0.0,24.43,3.3
2015-02-11,27.33,38.14,17.64,12.02,0.0,24.34,4.37
2015-02-12,26.67,36.45,18.11,13.48,0.0,23.44,4.89
2015-02-13,25.9,36.89,16.48,10.99,0.0,24.11,3.83
2015-02-14,26.57,37.6,16.39,12.85,0.0,23.16,2.55
2015-02-15,28.05,38.48,18.22,12.85,0.0,25.04,1.7
2015-02-16,27.98,38.71,18.24,13.89,0.0,24.76,1.78
2015-02-17,27.63,37.22,18.58,16.62,0.0,23.14,2.18
2015-02-18,28.04,37.51,19.58,16.02,0.0,19.74,2.99
2015-02-19,29.05,38.39,20.61,15.07,0.0,22.31,3.6
2015-02-20,29.38,38.53,21.31,17.24,0.0,22.54,3.15
2015-02-21,30.0,39.31,22.26,19.23,0.0,21.2,2.5
2015-02-22,30.88,39.62,21.84,21.05,0.0,21.07,1.56
2015-02-23,29.22,36.6,22.28,16.25,0.0,19.13,3.73
2015-02-24,27.28,34.38,21.51,14.63,0.0,19.02,4.71
2015-02-25,25.65,33.07,19.42,7.29,0.0,18.39,3.04
2015-02-26,26.86,34.8,19.44,10.83,0.0,19.04,3.19
2015-02-27,27.53,35.08,22.12,7.55,0.0,21.29,4.01
2015-02-28,26.44,35.27,19.08,8.77,0.0,21.93,3.88
2015-03-01,26.42,34.65,19.58,11.74,0.0,20.6,4.04
2015-03-02,27.04,34.78,20.65,11.66,0.0,22.93,4.56
2015-03-03,27.44,35.93,19.86,17.79,0.0,22.11,4.32
2015-03-04,28.35,36.16,21.26,16.02,0.0,20.44,4.86
2015-03-05,28.58,36.79,21.86,17.15,0.0,22.05,4.0
2015-03-06,28.54,37.22,21.16,15.95,0.0,21.36,3.38
2015-03-07,29.18,39.04,20.4,15.24,0.0,22.3,2.55
2015-03-08,30.38,39.96,21.25,13.82,0.0,23.48,2.62
2015-03-09,29.49,37.3,22.3,14.26,0.0,22.38,3.03
2015-03-10,31.65,40.86,23.25,14.6,0.0,22.97,2.91
2015-03-11,30.22,39.08,24.06,12.36,0.0,24.22,3.83
2015-03-12,29.66,38.21,22.09,12.76,0.0,23.11,4.26
2015-03-13,30.25,38.47,22.96,15.11,0.0,18.86,3.64
2015-03-14,30.69,39.06,23.4,12.72,0.0,21.87,4.42
2015-03-15,31.39,39.78,25.23,12.81,0.0,20.33,3.71
2015-03-16,32.08,41.19,24.35,11.77,0.0,15.9,3.86
2015-03-17,30.82,38.78,23.73,13.51,0.0,22.03,5.78
2015-03-18,30.59,38.97,22.52,16.96,0.0,21.45,4.06
2015-03-19,31.66,41.36,22.74,14.0,0.0,25.02,4.1
2015-03-20,32.64,41.65,25.3,11.8,0.0,24.96,3.96
2015-03-21,31.8,42.03,23.23,10.14,0.0,24.36,3.1
2015-03-22,32.69,43.33,22.82,8.59,0.0,18.98,2.99
2015-03-23,32.01,42.15,23.32,9.85,0.0,22.99,2.47
2015-03-24,32.68,41.49,22.22,13.83,0.0,23.94,1.75
2015-03-25,34.4,42.3,25.77,29.02,0.0,25.31,1.81
2015-03-26,34.1,40.25,28.77,34.24,0.0,22.32,3.45
2015-03-27,33.9,41.03,27.63,27.48,0.0,19.98,3.7
2015-03-28,31.07,38.28,25.13,8.94,0.0,23.94,3.57
2015-03-29,29.96,37.34,24.55,7.9,0.0,22.95,3.76
2015-03-30,28.67,35.74,22.94,9.21,0.0,22.61,3.33
2015-03-31,29.67,37.18,23.09,8.3,0.0,21.05,4.6
2015-04-01,30.54,38.87,22.89,14.52,0.0,22.45,4.8
2015-04-02,30.86,38.77,24.3,13.75,0.0,23.44,5.52
2015-04-03,30.7,38.68,24.01,18.6,0.0,23.79,5.31
2015-04-04,31.94,40.32,24.37,15.15,0.0,24.23,4.39
2015-04-05,32.09,41.17,24.19,16.45,0.0,24.75,3.81
2015-04-06,32.84,41.56,24.11,20.37,0.0,23.66,3.31
2015-04-07,33.67,40.51,27.71,17.82,0.0,23.0,2.65
2015-04-08,35.37,43.37,28.6,18.54,0.0,23.07,2.03
2015-04-09,34.61,42.49,26.68,26.91,0.0,22.44,1.55
2015-04-10,32.67,39.29,26.96,20.97,0.0,18.19,2.74
2015-04-11,31.19,38.17,24.73,12.91,0.0,16.94,5.27
2015-04-12,29.06,37.2,21.58,10.2,0.0,20.13,5.66
2015-04-13,28.88,37.63,21.09,8.49,0.0,23.07,4.47
2015-04-14,28.85,38.01,21.19,6.26,0.0,25.4,4.64
2015-04-15,27.43,37.17,18.26,5.41,0.0,26.1,3.95
2015-04-16,28.01,37.23,19.54,7.06,0.0,24.96,4.81
2015-04-17,29.13,38.73,20.37,7.77,0.0,25.51,5.21
2015-04-18,29.82,39.77,20.38,8.13,0.0,25.59,4.92
2015-04-19,30.23,39.75,21.05,7.35,0.0,25.81,4.65
2015-04-20,30.25,40.04,21.24,5.76,0.0,26.91,3.7
2015-04-21,30.55,41.03,21.41,5.73,0.0,27.38,3.22
2015-04-22,31.5,42.52,21.01,5.79,0.0,26.28,3.44
2015-04-23,32.5,43.33,22.74,5.46,0.0,27.39,4.11
2015-04-24,32.27,42.17,23.33,9.01,0.0,24.35,3.86
2015-04-25,32.86,41.3,24.94,10.31,0.0,21.5,4.79
2015-04-26,32.09,40.47,25.07,7.86,0.0,24.33,4.31
2015-04-27,30.59,40.08,21.84,7.0,0.0,27.3,3.09
2015-04-28,30.52,41.21,20.43,5.52,0.0,27.11,3.03
2015-04-29,31.76,41.77,21.67,5.05,0.0,26.79,2.71
2015-04-30,33.28,43.53,23.52,6.94,0.0,27.02,3.05
2015-05-01,33.65,43.95,24.35,7.42,0.0,26.56,3.83
2015-05-02,34.28,44.36,25.56,8.81,0.0,24.75,3.71
2015-05-03,34.86,42.29,26.89,23.31,1.15,19.02,3.31
2015-05-04,32.9,39.39,27.17,35.65,0.31,22.88,2.5
2015-05-05,32.91,42.23,24.53,9.83,0.0,21.8,3.05
2015-05-06,32.75,41.99,24.02,8.58,0.0,26.9,2.19
2015-05-07,33.59,42.38,25.87,8.94,0.0,26.28,1.37
2015-05-08,33.07,41.29,24.73,10.9,0.0,24.66,1.17
2015-05-09,33.69,40.34,26.11,30.68,0.0,21.64,2.54
2015-05-10,34.39,41.28,26.86,30.99,0.0,19.39,1.83
2015-05-11,35.37,42.23,28.22,21.63,0.0,21.97,1.47
2015-05-12,34.14,40.61,27.24,31.44,0.2,21.61,2.4
2015-05-13,32.86,36.74,28.7,39.41,0.09,14.19,1.81
2015-05-14,33.78,40.71,27.35,29.68,0.0,23.44,3.75
2015-05-15,33.78,40.94,28.5,27.93,0.0,18.61,3.28
