date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,25.06,30.25,20.13,70.41,0.0,20.16,1.36
2015-01-02,24.26,30.44,19.0,59.92,0.0,21.52,1.55
2015-01-03,22.46,28.77,17.2,63.05,0.0,19.18,2.5
2015-01-04,21.96,29.53,16.8,63.19,0.0,18.0,2.28
2015-01-05,21.36,29.59,15.29,65.03,0.0,19.42,1.88
2015-01-06,22.07,28.97,17.71,66.11,0.0,18.6,1.6
2015-01-07,22.4,28.88,18.59,68.48,0.0,18.78,1.78
2015-01-08,23.94,30.57,18.85,69.42,0.0,19.62,1.13
2015-01-09,21.84,30.08,15.84,63.69,0.0,21.61,2.22
2015-01-10,20.2,29.3,12.96,61.46,0.0,21.94,2.28
2015-01-11,20.7,29.98,13.76,59.29,0.0,20.48,2.09
2015-01-12,20.29,28.94,13.32,55.89,0.0,20.8,2.7
2015-01-13,21.67,29.63,14.92,59.48,0.0,21.06,1.83
2015-01-14,22.97,30.3,17.64,57.07,0.0,20.78,2.02
2015-01-15,24.39,31.96,17.3,59.68,0.0,22.17,1.22
2015-01-16,24.55,31.17,18.66,65.56,0.0,21.12,1.01
2015-01-17,24.32,30.7,19.4,64.23,0.0,21.15,1.03
2015-01-18,24.44,31.36,18.7,72.64,0.01,20.52,1.06
2015-01-19,25.33,31.33,19.72,78.97,0.05,19.66,1.25
2015-01-20,25.89,31.32,20.94,79.74,0.12,20.52,1.26
2015-01-21,26.74,33.14,21.86,77.79,0.12,18.49,1.23
2015-01-22,26.6,31.86,22.56,79.27,0.14,18.08,1.29
2015-01-23,26.51,32.61,21.8,80.36,0.04,18.33,1.31
2015-01-24,26.64,31.96,22.14,81.41,0.12,16.99,1.69
2015-01-25,26.08,29.54,23.04,85.21,0.56,15.85,1.35
2015-01-26,25.96,29.65,22.79,85.54,0.15,16.39,1.16
2015-01-27,25.94,29.59,22.84,85.13,0.03,15.75,1.26
