date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,24.73,30.91,19.13,69.42,0.0,20.73,1.57
2015-01-02,23.82,29.89,17.23,54.2,0.0,21.17,1.82
2015-01-03,21.66,29.28,16.65,56.12,0.0,17.99,2.89
2015-01-04,20.6,28.54,14.58,54.63,0.0,19.5,3.14
2015-01-05,19.92,27.5,14.22,54.42,0.0,17.36,2.91
2015-01-06,19.74,26.49,14.54,56.83,0.0,15.77,2.75
2015-01-07,21.01,28.59,15.77,54.97,0.0,18.07,3.12
2015-01-08,21.2,27.79,15.62,55.97,0.0,18.67,2.68
2015-01-09,20.08,28.79,13.97,50.26,0.0,19.62,3.87
2015-01-10,19.38,27.91,14.04,47.94,0.0,21.22,4.03
2015-01-11,19.05,27.53,12.68,47.58,0.0,18.95,3.43
2015-01-12,19.21,27.99,12.82,46.79,0.0,20.72,3.7
2015-01-13,19.83,28.36,12.58,48.4,0.0,20.35,3.33
2015-01-14,21.25,29.99,14.43,50.73,0.0,20.34,2.98
2015-01-15,21.61,30.05,13.84,50.32,0.0,21.87,2.77
2015-01-16,23.02,30.05,14.26,45.63,0.0,21.42,2.24
2015-01-17,22.86,29.88,14.6,47.67,0.0,21.35,2.09
2015-01-18,23.34,30.99,16.5,56.41,0.0,20.8,1.19
2015-01-19,24.05,31.31,16.66,73.51,0.02,19.79,1.24
2015-01-20,25.36,31.97,18.9,76.99,0.06,19.98,1.16
2015-01-21,26.33,32.74,20.95,77.05,0.06,17.99,1.23
2015-01-22,26.79,33.58,21.2,75.29,0.04,17.53,1.62
2015-01-23,26.37,32.83,21.28,71.7,0.03,16.54,1.39
2015-01-24,26.29,32.21,21.2,79.85,0.06,15.03,1.9
2015-01-25,25.99,30.06,22.44,84.05,0.19,16.35,1.68
2015-01-26,26.12,30.12,22.62,83.76,0.1,15.83,1.45
2015-01-27,25.92,30.03,22.85,85.4,0.05,16.42,1.78
2015-01-28,26.49,31.51,22.25,81.11,0.06,17.06,1.71
2015-01-29,26.05,30.49,22.26,81.25,0.04,18.19,1.11
2015-01-30,26.52,32.19,21.76,78.68,0.03,17.51,1.25
2015-01-31,26.88,32.18,22.31,79.01,0.01,18.35,1.37
2015-02-01,26.8,32.03,22.35,78.34,0.01,14.56,1.53
2015-02-02,26.99,33.37,21.81,77.09,0.01,19.92,1.3
2015-02-03,27.05,32.66,22.6,79.4,0.04,17.2,1.64
2015-02-04,27.34,33.23,22.65,77.41,0.03,17.13,1.38
2015-02-05,27.3,32.55,23.01,79.59,0.24,17.24,1.93
2015-02-06,27.24,31.63,23.67,82.7,0.82,18.96,1.82
2015-02-07,26.92,30.81,23.45,84.79,0.58,16.22,1.91
2015-02-08,26.94,30.89,23.8,83.89,1.45,13.83,2.02
2015-02-09,27.3,32.69,22.5,79.72,0.68,14.46,1.94
2015-02-10,26.1,29.07,23.74,87.06,0.1,17.77,1.76
2015-02-11,26.71,31.61,22.63,81.33,0.02,18.38,1.3
2015-02-12,26.15,30.0,22.93,84.37,0.08,18.96,1.62
2015-02-13,26.29,30.85,22.97,82.25,0.04,16.53,1.7
2015-02-14,26.02,29.64,23.07,83.89,0.04,18.62,1.75
2015-02-15,26.56,31.01,22.64,82.66,0.66,19.32,2.23
2015-02-16,26.65,31.22,22.76,82.31,0.58,18.3,2.27
2015-02-17,26.91,32.0,22.85,81.56,1.52,16.3,2.18
2015-02-18,25.49,28.08,23.5,87.04,3.32,9.56,1.79
2015-02-19,26.0,30.2,22.57,82.8,0.4,16.78,1.41
