date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,25.07,34.5,17.07,32.32,0.0,20.05,2.12
2015-01-02,24.43,34.91,16.15,29.53,0.0,21.13,2.46
2015-01-03,24.22,35.13,16.26,25.65,0.0,20.27,3.64
2015-01-04,23.51,34.51,15.36,24.25,0.0,20.32,3.78
2015-01-05,23.01,33.12,15.2,27.83,0.0,17.27,2.46
2015-01-06,21.8,30.42,14.34,31.24,0.0,16.25,1.97
2015-01-07,22.65,32.97,14.86,30.94,0.0,18.83,2.4
2015-01-08,22.76,32.41,15.5,27.0,0.0,17.8,3.03
2015-01-09,22.98,33.49,15.44,23.06,0.0,18.86,4.48
2015-01-10,21.4,32.82,13.82,21.12,0.0,20.71,4.54
2015-01-11,21.06,32.6,12.26,22.44,0.0,19.93,3.2
2015-01-12,21.17,32.5,12.26,24.26,0.0,20.74,2.77
2015-01-13,21.29,32.69,12.31,22.5,0.0,21.57,3.35
2015-01-14,23.01,34.0,13.78,24.92,0.0,21.21,2.89
2015-01-15,24.16,35.1,15.07,23.87,0.0,22.65,2.25
2015-01-16,24.33,35.08,15.27,24.75,0.0,21.53,2.15
2015-01-17,24.15,34.19,15.56,25.4,0.0,21.41,2.1
2015-01-18,25.04,33.77,17.07,27.45,0.0,20.71,1.89
2015-01-19,25.74,33.59,19.34,33.24,0.0,19.65,1.32
2015-01-20,26.42,34.27,19.21,41.53,0.01,19.01,1.29
2015-01-21,27.61,35.83,19.88,39.49,0.0,20.09,1.43
2015-01-22,28.26,38.07,20.61,31.46,0.0,20.71,1.68
2015-01-23,28.2,37.97,19.46,20.43,0.0,20.46,2.14
2015-01-24,27.22,35.97,18.68,22.82,0.0,21.26,2.0
2015-01-25,28.07,35.72,21.75,38.28,0.0,18.58,0.95
2015-01-26,27.9,34.51,22.35,53.16,0.0,15.11,0.94
2015-01-27,28.4,37.81,21.82,31.74,0.0,19.4,2.46
2015-01-28,28.11,36.83,20.52,36.26,0.0,17.64,1.17
2015-01-29,26.8,34.95,19.44,26.11,0.0,21.81,2.38
2015-01-30,27.17,35.04,19.65,31.16,0.0,21.14,1.66
2015-01-31,27.99,36.15,20.89,32.1,0.0,20.2,1.75
2015-02-01,28.69,37.47,21.08,30.06,0.0,18.33,1.19
2015-02-02,29.49,39.0,20.51,25.34,0.0,22.44,2.3
2015-02-03,29.1,37.63,21.28,29.87,0.0,20.91,1.26
2015-02-04,29.26,39.16,20.36,24.38,0.0,20.23,1.89
2015-02-05,29.83,38.24,22.07,32.82,0.0,21.33,1.08
2015-02-06,29.67,36.5,23.68,48.01,0.0,21.67,1.57
2015-02-07,29.6,36.84,23.81,52.56,0.0,19.8,1.19
2015-02-08,30.56,39.9,23.78,42.99,0.0,20.23,1.54
2015-02-09,30.28,38.85,23.25,46.17,0.0,21.3,0.79
2015-02-10,29.55,36.24,24.79,50.51,0.07,20.5,1.23
2015-02-11,29.6,39.05,22.18,28.52,0.0,22.47,1.86
2015-02-12,28.57,38.08,20.79,19.69,0.0,21.65,2.5
2015-02-13,28.52,38.02,19.94,19.91,0.0,19.58,1.97
2015-02-14,28.37,35.74,20.84,36.1,0.0,21.16,1.61
2015-02-15,29.59,36.7,23.32,44.18,0.01,20.9,1.68
2015-02-16,28.9,35.19,23.06,55.52,0.27,19.75,2.05
2015-02-17,29.42,36.03,23.17,53.86,0.26,20.74,1.83
2015-02-18,27.37,31.47,24.19,63.6,1.56,14.49,1.79
2015-02-19,28.11,34.72,22.73,60.74,0.02,19.11,1.35
2015-02-20,29.23,35.95,23.17,53.65,0.19,18.44,1.11
2015-02-21,29.91,36.75,23.27,52.54,0.16,17.66,1.4
2015-02-22,30.11,36.96,25.2,44.16,0.21,19.72,2.79
2015-02-23,29.99,36.96,23.56,37.43,0.01,15.85,1.6
2015-02-24,30.06,37.37,24.92,36.65,0.2,16.09,1.84
2015-02-25,29.0,35.09,23.81,43.06,0.17,16.3,1.74
2015-02-26,28.44,34.22,24.42,57.23,3.05,19.13,1.78
2015-02-27,27.51,32.98,23.61,65.44,3.14,15.92,1.47
2015-02-28,28.08,35.73,22.1,39.96,0.0,20.66,1.62
2015-03-01,28.1,36.76,20.64,22.59,0.0,21.96,2.12
2015-03-02,28.11,36.78,20.18,25.91,0.0,23.11,1.63
2015-03-03,28.38,36.7,21.19,26.63,0.0,20.85,1.94
2015-03-04,29.04,38.56,21.01,24.25,0.0,19.16,2.94
2015-03-05,29.57,38.95,21.39,22.27,0.0,20.14,2.23
2015-03-06,29.38,38.05,21.78,22.34,0.0,20.84,2.35
2015-03-07,30.1,37.85,23.76,35.0,0.01,21.01,1.44
2015-03-08,30.65,37.5,24.07,51.51,0.22,18.93,1.89
2015-03-09,30.11,36.69,25.49,50.98,0.06,19.95,1.68
2015-03-10,28.53,33.04,24.56,59.41,0.11,22.29,1.83
2015-03-11,29.72,37.3,23.45,54.96,0.05,19.03,1.81
2015-03-12,29.77,37.88,24.92,34.69,0.09,23.78,1.95
2015-03-13,29.41,37.5,22.33,24.62,0.02,21.06,2.06
2015-03-14,29.75,38.38,22.02,23.89,0.0,18.14,2.46
2015-03-15,30.71,39.36,22.59,23.38,0.01,18.67,2.38
2015-03-16,28.45,31.71,25.69,59.49,0.28,9.59,1.38
2015-03-17,29.22,36.45,24.4,44.2,1.85,15.47,1.99
2015-03-18,28.59,36.33,23.28,44.89,0.36,18.32,1.91
2015-03-19,30.21,38.84,22.99,46.21,0.02,22.95,1.9
2015-03-20,30.0,36.6,24.06,55.98,0.34,20.7,2.04
2015-03-21,28.52,34.24,24.66,66.61,4.86,19.18,2.29
2015-03-22,28.07,32.94,23.96,68.94,0.39,20.67,1.56
2015-03-23,28.24,33.97,23.66,68.53,0.65,23.87,1.85
2015-03-24,27.91,31.98,24.67,68.36,0.83,21.47,2.49
2015-03-25,28.41,34.83,22.98,62.25,3.73,18.42,2.55
2015-03-26,27.56,33.25,24.02,71.52,7.27,21.32,2.13
2015-03-27,27.15,33.35,23.04,66.92,0.0,20.45,2.51
2015-03-28,27.57,33.9,23.14,67.99,0.0,21.5,2.01
2015-03-29,27.02,32.65,22.38,69.86,0.0,23.43,2.06
2015-03-30,27.67,34.15,22.18,64.45,0.0,18.68,1.23
2015-03-31,27.1,31.77,22.71,59.22,0.0,11.23,1.13
2015-04-01,28.33,36.42,21.09,37.07,0.0,13.78,1.74
2015-04-02,28.87,37.27,21.41,33.37,0.0,19.0,1.96
2015-04-03,28.32,35.35,21.45,40.96,0.0,17.81,2.25
2015-04-04,28.18,33.72,23.9,60.26,0.01,21.0,1.33
2015-04-05,29.0,35.2,23.5,58.22,0.04,18.61,1.87
2015-04-06,29.45,36.75,23.65,61.12,0.89,19.74,1.91
2015-04-07,28.54,33.34,24.31,65.6,2.41,22.0,1.79
2015-04-08,26.74,30.21,24.17,76.57,3.77,21.79,1.93
2015-04-09,28.52,35.38,22.39,67.63,0.13,18.48,2.17
2015-04-10,28.02,33.21,24.24,71.52,1.37,15.98,1.69
2015-04-11,28.62,34.82,24.18,64.54,0.02,17.41,1.72
2015-04-12,28.28,36.18,22.31,41.86,0.0,16.37,2.31
2015-04-13,28.89,39.09,20.64,27.0,0.0,21.42,2.1
2015-04-14,29.14,37.61,22.56,20.57,0.0,20.86,2.03
2015-04-15,28.53,37.76,20.07,20.71,0.0,23.07,2.26
2015-04-16,29.23,38.7,20.92,20.05,0.0,23.62,1.61
2015-04-17,29.22,39.62,20.05,16.06,0.0,25.02,2.42
2015-04-18,29.76,39.88,20.36,17.15,0.0,24.66,2.43
2015-04-19,30.08,39.83,21.18,17.65,0.0,24.73,2.48
2015-04-20,30.05,39.82,21.55,26.49,0.0,25.88,1.76
2015-04-21,30.79,39.56,23.94,40.79,0.03,26.42,1.18
2015-04-22,31.07,39.37,24.07,46.38,0.37,24.59,1.31
2015-04-23,31.72,40.28,24.4,46.78,0.19,22.85,1.59
2015-04-24,30.17,36.56,25.14,58.71,1.11,21.19,2.36
2015-04-25,28.68,33.11,24.79,62.42,1.74,21.22,1.47
2015-04-26,29.65,37.17,23.98,50.12,0.01,20.19,1.59
2015-04-27,30.48,39.83,23.2,47.29,0.0,25.0,1.07
2015-04-28,30.25,37.37,23.91,48.92,0.01,26.37,1.7
2015-04-29,31.07,38.78,23.7,51.51,0.03,24.64,2.0
2015-04-30,31.24,38.83,24.34,52.13,0.04,25.82,2.37
2015-05-01,31.07,37.87,24.87,54.27,0.28,21.36,2.32
2015-05-02,31.19,38.25,25.42,53.65,0.07,20.46,2.35
2015-05-03,30.6,37.42,24.7,55.42,0.44,19.25,2.44
2015-05-04,30.17,35.02,26.08,54.99,0.35,21.21,1.38
2015-05-05,27.42,31.31,24.14,68.74,2.86,10.17,2.23
2015-05-06,29.15,37.11,22.5,57.87,0.0,24.7,1.53
2015-05-07,30.5,38.38,23.13,55.71,0.0,24.41,2.23
2015-05-08,29.78,35.74,24.94,59.9,0.0,21.24,2.71
2015-05-09,28.47,32.42,24.85,60.63,0.01,20.81,1.51
2015-05-10,29.46,34.98,24.14,56.89,0.0,20.28,1.33
2015-05-11,29.66,34.86,24.84,55.81,1.06,22.97,1.4
2015-05-12,28.0,33.05,24.54,70.13,4.12,19.98,1.62
2015-05-13,27.75,32.62,23.94,71.26,2.63,20.05,1.32
2015-05-14,26.62,30.18,24.24,78.5,7.92,15.22,1.25
2015-05-15,27.27,31.85,23.7,73.56,0.94,18.44,1.25
2015-05-16,27.9,32.68,23.78,66.33,0.06,19.37,1.61
2015-05-17,30.06,38.06,24.2,57.16,0.42,23.74,1.96
2015-05-18,28.58,34.23,24.08,68.51,0.24,18.56,1.89
2015-05-19,28.04,32.58,24.09,69.27,0.21,16.96,2.1
2015-05-20,28.78,33.87,24.21,66.11,0.18,15.23,1.64
2015-05-21,28.76,34.91,24.23,67.08,1.3,22.42,2.09
2015-05-22,29.82,37.35,23.71,63.76,0.81,19.48,1.54
2015-05-23,26.39,29.0,23.85,78.45,1.08,13.86,2.14
2015-05-24,28.09,34.46,23.2,69.41,0.86,25.15,1.83
2015-05-25,29.58,35.86,23.96,63.47,0.37,20.78,2.06
2015-05-26,29.48,35.56,24.54,64.23,0.85,19.46,2.35
2015-05-27,28.45,33.61,24.12,68.15,1.45,19.84,1.99
2015-05-28,28.08,33.48,23.79,69.68,1.74,21.52,1.61
2015-05-29,28.44,34.41,23.85,68.1,0.76,19.93,1.98
2015-05-30,28.13,33.6,23.8,73.87,5.59,18.49,1.72
2015-05-31,26.27,29.73,23.95,82.02,3.16,15.73,1.76
2015-06-01,26.17,29.67,23.53,78.74,0.44,14.14,1.88
2015-06-02,26.49,31.13,23.32,79.94,1.88,5.97,1.7
2015-06-03,25.88,29.14,23.7,83.22,2.9,16.73,1.35
2015-06-04,26.57,31.07,23.28,76.82,2.07,21.33,0.69
2015-06-05,25.83,29.39,23.16,80.67,4.71,23.61,0.75
2015-06-06,25.93,30.42,22.43,79.8,1.61,8.96,1.54
2015-06-07,25.11,28.83,22.79,80.06,2.05,12.03,1.62
2015-06-08,26.01,31.63,21.16,76.03,1.13,15.85,1.68
