date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,23.45,32.52,15.98,17.88,0.0,19.83,4.05
2015-01-02,21.85,30.38,14.54,20.84,0.0,19.06,3.69
2015-01-03,21.95,31.66,14.02,21.19,0.0,21.31,4.87
2015-01-04,20.66,28.33,14.13,16.72,0.0,13.56,4.51
2015-01-05,19.73,28.09,13.36,19.76,0.0,13.05,3.79
2015-01-06,19.52,28.13,12.29,21.22,0.0,19.67,3.83
2015-01-07,20.12,28.62,12.24,19.65,0.0,20.53,3.94
2015-01-08,21.4,30.91,13.84,19.72,0.0,15.8,4.46
2015-01-09,20.18,28.93,12.96,19.55,0.0,17.15,5.04
2015-01-10,18.57,27.73,10.91,17.91,0.0,17.27,5.08
2015-01-11,17.69,26.38,10.28,21.19,0.0,17.84,4.21
2015-01-12,17.93,27.64,9.98,19.49,0.0,20.07,4.26
2015-01-13,18.09,28.94,8.85,15.53,0.0,22.21,3.8
2015-01-14,19.79,31.11,9.81,15.74,0.0,23.12,3.72
2015-01-15,20.67,31.61,11.63,18.93,0.0,21.58,3.9
2015-01-16,20.83,31.13,12.64,18.41,0.0,21.53,3.71
2015-01-17,21.21,32.25,12.16,16.75,0.0,22.36,2.87
2015-01-18,22.6,33.74,12.71,15.4,0.0,22.65,2.21
2015-01-19,23.49,34.17,12.67,14.37,0.0,22.85,1.54
2015-01-20,25.42,35.46,14.47,14.1,0.0,22.38,1.2
2015-01-21,25.88,36.57,15.66,14.54,0.0,22.3,1.87
2015-01-22,26.05,36.84,16.53,13.53,0.0,22.48,3.65
2015-01-23,26.31,37.03,16.99,13.56,0.0,22.83,3.53
2015-01-24,26.65,37.6,17.39,12.89,0.0,23.07,2.9
2015-01-25,26.5,37.09,16.52,18.69,0.0,19.59,2.12
2015-01-26,26.75,37.0,17.01,18.57,0.0,20.8,2.74
2015-01-27,27.83,36.54,20.19,18.93,0.0,15.19,3.85
2015-01-28,26.48,35.66,18.93,14.81,0.0,22.78,4.01
2015-01-29,24.74,34.28,16.8,12.96,0.0,22.68,3.92
2015-01-30,24.72,34.59,16.08,13.34,0.0,22.87,2.82
2015-01-31,25.64,35.86,16.59,15.29,0.0,22.31,2.93
2015-02-01,27.51,37.83,18.09,17.0,0.0,22.95,3.0
2015-02-02,29.09,39.23,19.64,14.94,0.0,22.95,3.53
2015-02-03,28.25,38.58,18.71,13.51,0.0,22.99,3.94
2015-02-04,28.78,38.86,19.89,14.58,0.0,23.57,3.86
2015-02-05,29.9,40.54,20.22,15.7,0.0,22.79,2.86
2015-02-06,29.89,40.27,20.27,15.76,0.0,22.65,3.01
2015-02-07,30.44,40.72,20.81,13.99,0.0,23.34,3.25
2015-02-08,30.1,39.79,21.12,15.5,0.0,22.75,4.06
2015-02-09,29.89,39.7,21.17,12.64,0.0,23.17,3.68
2015-02-10,28.95,38.97,19.78,10.31,0.0,23.72,3.87
2015-02-11,29.18,38.78,20.69,10.09,0.0,24.25,4.61
2015-02-12,28.25,37.53,20.22,12.66,0.0,20.73,5.16
2015-02-13,27.5,37.52,18.53,11.12,0.0,22.89,4.05
2015-02-14,28.61,38.66,18.89,11.47,0.0,24.34,2.55
2015-02-15,28.95,38.01,20.3,11.77,0.0,24.72,1.19
2015-02-16,30.33,38.26,21.45,22.6,0.0,23.49,1.26
2015-02-17,31.04,38.19,24.33,29.64,0.0,21.94,1.49
2015-02-18,29.06,35.81,21.62,19.85,0.0,18.77,1.81
2015-02-19,29.36,38.75,20.76,17.44,0.0,22.38,2.83
2015-02-20,29.36,38.47,20.76,18.48,0.0,20.72,2.34
2015-02-21,30.64,39.47,21.62,19.61,0.0,19.76,1.64
2015-02-22,31.01,37.89,24.52,24.94,0.0,19.93,0.99
2015-02-23,29.38,36.12,23.92,23.67,0.0,17.71,2.69
2015-02-24,28.39,35.71,22.79,18.39,0.0,19.67,4.8
2015-02-25,27.29,34.62,21.15,12.25,0.0,20.09,3.4
2015-02-26,28.73,36.13,22.17,12.0,0.0,17.32,2.56
2015-02-27,28.02,35.63,20.4,12.2,0.0,16.65,3.53
2015-02-28,27.67,36.01,20.14,10.1,0.0,21.02,4.21
2015-03-01,27.35,35.1,20.93,9.77,0.0,22.58,4.28
2015-03-02,27.2,34.95,20.93,11.57,0.0,23.23,4.39
2015-03-03,27.35,35.45,20.17,18.54,0.0,21.33,4.59
2015-03-04,28.82,36.33,21.92,17.49,0.0,18.51,5.22
2015-03-05,28.99,37.09,22.75,16.82,0.0,21.14,4.51
2015-03-06,28.73,36.72,21.59,16.73,0.0,20.4,4.12
2015-03-07,29.9,39.16,21.41,15.57,0.0,22.14,2.39
2015-03-08,30.76,39.52,22.86,15.04,0.0,22.17,1.34
2015-03-09,29.85,37.91,22.5,16.4,0.0,20.71,1.94
2015-03-10,32.28,40.38,25.04,18.84,0.0,23.01,1.37
2015-03-11,30.48,39.19,22.88,16.4,0.0,23.83,2.61
2015-03-12,29.01,35.98,23.15,13.2,0.0,23.44,4.15
2015-03-13,29.69,38.03,22.32,16.92,0.0,15.23,3.4
2015-03-14,30.09,37.86,23.65,14.34,0.0,19.34,4.52
2015-03-15,31.6,40.2,24.83,14.89,0.0,19.63,3.54
2015-03-16,30.62,36.59,25.82,23.11,0.0,13.11,3.26
2015-03-17,30.11,37.53,23.99,17.19,0.0,20.71,4.7
2015-03-18,31.05,39.26,23.12,16.29,0.0,20.95,4.51
2015-03-19,32.18,41.17,23.35,16.65,0.0,24.69,3.25
2015-03-20,31.59,38.75,24.99,30.51,0.0,23.76,1.88
2015-03-21,32.18,39.88,25.34,44.06,0.0,22.83,1.85
2015-03-22,31.87,40.05,23.93,43.35,0.0,22.39,2.56
2015-03-23,32.54,39.25,25.98,42.63,0.0,22.7,2.52
2015-03-24,33.15,40.23,27.28,43.31,0.0,21.9,3.7
2015-03-25,33.34,40.48,26.8,41.59,0.0,22.96,3.98
2015-03-26,31.99,36.43,27.85,44.81,0.0,21.67,3.29
2015-03-27,33.12,39.18,27.03,39.63,0.0,20.68,2.18
2015-03-28,31.09,37.75,26.26,29.61,0.0,24.51,2.72
2015-03-29,30.01,37.17,23.72,11.27,0.0,22.6,1.53
2015-03-30,29.02,34.25,23.43,12.5,0.0,20.48,2.25
2015-03-31,30.05,37.17,22.94,10.5,0.0,22.4,4.02
2015-04-01,30.37,37.75,23.33,20.39,0.0,19.09,5.18
2015-04-02,30.5,37.59,24.17,17.74,0.0,22.87,5.87
2015-04-03,30.58,37.74,24.06,21.1,0.0,23.55,4.76
2015-04-04,31.85,39.89,24.2,18.16,0.0,21.36,3.66
2015-04-05,32.24,40.86,24.5,17.84,0.0,23.21,2.69
2015-04-06,32.38,40.75,23.07,22.36,0.0,22.62,2.55
2015-04-07,33.51,40.04,28.4,25.68,1.49,16.57,2.4
2015-04-08,31.02,38.02,25.17,48.41,3.69,24.07,3.23
2015-04-09,30.29,36.35,24.97,58.53,0.03,18.5,3.86
2015-04-10,30.12,36.61,24.57,55.87,0.05,21.15,2.43
2015-04-11,31.27,38.55,25.71,24.76,0.0,13.51,3.7
2015-04-12,29.71,37.16,23.75,12.99,0.0,19.66,4.79
2015-04-13,29.48,37.51,22.63,11.01,0.0,21.57,4.77
2015-04-14,29.61,38.33,22.5,9.7,0.0,24.16,4.79
2015-04-15,28.88,38.18,20.93,6.53,0.0,25.64,4.57
2015-04-16,28.04,37.48,19.1,7.85,0.0,25.85,4.47
2015-04-17,29.19,38.82,20.92,8.86,0.0,25.81,4.88
2015-04-18,30.1,39.91,21.26,9.16,0.0,25.89,4.83
2015-04-19,30.74,39.89,22.55,9.39,0.0,25.74,4.89
2015-04-20,30.82,40.34,21.94,8.24,0.0,27.17,3.96
2015-04-21,30.68,40.63,21.17,6.56,0.0,28.01,3.61
2015-04-22,31.42,42.49,20.72,6.82,0.0,27.07,3.09
2015-04-23,32.23,42.84,21.86,7.35,0.0,27.45,3.56
2015-04-24,30.93,38.24,22.6,25.08,0.0,24.79,2.62
2015-04-25,32.31,40.45,25.22,33.37,0.01,21.36,2.27
2015-04-26,31.21,38.88,24.37,18.65,0.0,22.02,2.62
2015-04-27,30.5,39.92,21.98,9.0,0.0,27.06,2.81
2015-04-28,30.5,40.78,20.89,6.85,0.0,27.97,2.6
2015-04-29,31.23,41.49,21.91,6.83,0.0,25.93,2.21
2015-04-30,32.42,41.64,22.96,10.82,0.0,27.2,1.57
2015-05-01,32.17,41.09,23.38,21.67,0.0,25.24,1.49
2015-05-02,32.91,41.88,23.43,31.78,0.0,25.07,1.66
2015-05-03,31.85,38.61,24.89,46.21,0.01,20.46,3.58
2015-05-04,33.06,38.54,27.59,39.12,0.01,23.04,1.76
2015-05-05,33.57,39.87,27.72,30.25,0.01,18.55,1.51
2015-05-06,32.04,39.61,25.53,36.63,0.0,25.02,1.44
2015-05-07,32.81,40.87,24.63,32.33,0.0,24.41,1.9
2015-05-08,32.8,40.13,26.75,46.75,0.02,23.96,3.92
2015-05-09,31.33,37.28,26.43,47.83,0.01,21.42,4.18
2015-05-10,32.2,39.77,24.76,44.75,0.0,22.68,3.52
2015-05-11,32.44,38.83,26.16,44.48,0.01,21.08,3.49
2015-05-12,31.12,34.9,27.77,48.83,0.15,21.55,3.42
2015-05-13,32.0,37.73,26.17,47.9,0.14,18.32,2.38
2015-05-14,31.89,36.03,28.94,42.52,0.17,19.54,2.53
2015-05-15,31.79,39.23,25.8,45.58,0.01,20.13,3.24
2015-05-16,33.33,40.31,26.72,41.6,0.04,21.9,2.17
2015-05-17,34.2,42.17,27.01,28.04,0.0,25.32,2.27
2015-05-18,32.59,41.17,24.05,35.05,0.01,22.85,2.3
2015-05-19,32.36,40.04,25.45,48.77,0.0,23.25,4.06
2015-05-20,32.4,40.3,26.39,47.54,0.0,19.47,4.41
2015-05-21,31.42,36.84,26.64,51.36,0.23,24.06,4.41
2015-05-22,32.83,39.82,25.73,47.34,0.17,24.31,3.06
2015-05-23,31.31,36.35,27.45,52.11,0.37,23.83,4.1
