date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,22.81,30.44,16.01,68.28,0.0,19.36,1.64
2015-01-02,24.34,30.28,17.71,67.02,0.0,20.06,1.38
2015-01-03,23.19,29.85,17.22,64.65,0.0,18.93,1.75
2015-01-04,21.24,28.87,13.89,56.91,0.0,19.33,2.47
2015-01-05,20.99,28.37,13.56,56.98,0.0,17.65,2.16
2015-01-06,20.4,26.85,13.58,61.57,0.0,15.54,1.86
2015-01-07,21.67,28.37,15.74,59.44,0.0,16.62,1.69
2015-01-08,22.08,29.29,14.94,60.75,0.0,17.86,1.67
2015-01-09,20.75,28.59,14.94,61.84,0.0,17.78,2.58
2015-01-10,19.08,27.56,12.41,58.29,0.0,19.82,2.81
2015-01-11,19.33,27.8,11.95,54.51,0.0,17.87,2.51
2015-01-12,18.98,28.71,11.3,55.72,0.0,19.41,2.74
2015-01-13,19.29,27.2,11.06,53.45,0.0,19.71,2.4
2015-01-14,21.01,29.25,12.89,56.11,0.0,19.64,2.04
2015-01-15,21.93,29.88,14.66,63.5,0.0,20.0,1.67
2015-01-16,22.5,30.46,15.53,67.12,0.0,19.19,1.38
2015-01-17,23.25,30.66,16.31,70.39,0.01,18.7,0.92
2015-01-18,24.22,30.96,19.57,80.03,0.01,17.89,0.89
2015-01-19,24.57,30.74,19.92,83.75,0.04,17.37,1.49
2015-01-20,24.88,30.63,20.21,84.3,0.06,16.45,1.53
2015-01-21,25.69,31.36,21.2,82.47,0.0,16.53,1.23
2015-01-22,26.03,32.02,21.74,81.19,0.0,17.33,1.2
2015-01-23,25.91,31.91,21.37,80.35,0.0,15.74,1.34
2015-01-24,25.58,30.88,21.83,84.58,0.0,15.64,1.74
2015-01-25,25.72,30.34,21.67,85.45,0.0,14.6,1.68
2015-01-26,25.87,30.98,22.34,84.37,0.03,15.46,1.18
2015-01-27,25.7,31.11,22.02,82.88,0.02,15.85,1.39
2015-01-28,26.14,31.55,22.36,83.35,0.03,17.56,1.7
2015-01-29,26.01,30.64,22.59,85.8,0.06,17.57,1.64
2015-01-30,26.34,30.91,22.78,84.28,0.12,16.71,1.32
2015-01-31,26.13,30.31,22.45,84.76,0.16,17.5,1.27
2015-02-01,25.47,28.58,23.39,89.34,0.06,16.97,0.84
2015-02-02,26.89,32.56,23.01,82.9,0.05,17.21,1.26
2015-02-03,26.69,31.47,22.85,84.8,0.12,14.04,1.76
2015-02-04,26.83,31.95,22.73,83.1,0.15,15.43,1.38
2015-02-05,26.91,31.69,22.93,84.41,0.0,16.93,1.83
2015-02-06,26.48,30.38,23.37,86.85,0.0,16.25,1.78
2015-02-07,26.18,30.33,23.1,87.14,0.0,14.53,1.62
2015-02-08,27.09,33.47,22.75,81.77,0.0,18.47,1.92
2015-02-09,26.86,31.49,23.8,84.2,0.0,18.1,2.44
2015-02-10,25.86,28.82,23.37,88.69,2.26,17.81,1.65
