date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,20.23,29.21,13.47,20.23,0.0,18.85,1.7
2015-01-02,19.83,29.43,12.51,21.42,0.0,17.6,1.66
2015-01-03,18.7,27.96,11.25,19.97,0.0,20.58,1.97
2015-01-04,17.64,26.61,10.96,20.48,0.0,17.3,1.89
2015-01-05,17.04,26.23,10.27,22.97,0.0,13.13,1.79
2015-01-06,16.4,25.89,8.5,25.77,0.0,19.34,1.71
2015-01-07,16.64,26.22,8.88,22.43,0.0,19.97,1.89
2015-01-08,17.6,27.1,10.05,25.4,0.0,16.13,1.93
2015-01-09,17.04,24.97,10.56,23.49,0.0,14.5,2.18
2015-01-10,16.12,24.62,9.1,22.1,0.0,13.92,2.36
2015-01-11,15.23,23.58,8.38,24.49,0.0,17.22,1.95
2015-01-12,14.89,24.42,7.75,22.27,0.0,19.34,2.06
2015-01-13,14.74,26.06,5.74,19.8,0.0,21.62,1.76
2015-01-14,16.43,27.71,7.13,22.15,0.0,22.02,1.77
2015-01-15,17.2,27.63,8.71,26.06,0.0,19.64,1.81
2015-01-16,17.13,27.38,9.0,23.17,0.0,19.07,1.6
2015-01-17,17.31,28.58,8.72,20.6,0.0,19.2,1.25
2015-01-18,18.57,30.99,8.46,19.96,0.0,20.81,1.14
2015-01-19,20.0,32.4,10.02,18.98,0.0,21.51,0.89
2015-01-20,22.32,33.83,14.3,18.53,0.0,20.56,1.01
2015-01-21,23.05,34.57,14.57,18.75,0.0,20.77,1.06
2015-01-22,22.77,34.54,13.24,19.11,0.0,21.32,1.42
2015-01-23,23.82,35.89,13.69,20.16,0.0,21.19,1.45
2015-01-24,24.61,35.93,14.78,20.92,0.0,21.75,1.18
2015-01-25,24.29,35.81,14.62,21.94,0.0,21.21,1.16
2015-01-26,24.41,35.3,14.82,19.54,0.0,18.88,1.24
2015-01-27,24.71,35.26,16.04,18.1,0.0,20.93,1.64
2015-01-28,23.05,32.98,14.84,15.55,0.0,21.03,1.62
2015-01-29,21.32,31.26,13.4,15.1,0.0,22.34,1.7
2015-01-30,21.06,31.43,12.35,16.26,0.0,22.24,1.18
2015-01-31,22.42,33.92,12.68,18.27,0.0,21.03,1.08
2015-02-01,24.22,35.42,14.98,19.6,0.0,22.69,0.93
2015-02-02,25.29,36.78,16.44,19.15,0.0,23.51,1.27
2015-02-03,24.92,36.97,14.74,16.03,0.0,22.54,1.34
2015-02-04,25.57,37.82,15.37,16.26,0.0,23.58,1.36
2015-02-05,26.76,38.89,16.32,18.11,0.0,23.25,1.11
2015-02-06,27.42,39.14,17.11,16.38,0.0,23.79,1.15
2015-02-07,27.63,38.65,17.6,14.53,0.0,22.21,1.48
2015-02-08,27.74,38.64,18.62,14.03,0.0,22.38,1.69
2015-02-09,26.47,38.23,16.38,12.86,0.0,23.61,1.57
2015-02-10,26.09,37.56,15.69,12.29,0.0,23.72,1.76
2015-02-11,26.47,36.94,17.46,13.03,0.0,20.61,2.13
2015-02-12,25.96,35.66,17.69,14.71,0.0,20.57,2.25
2015-02-13,24.22,34.74,15.84,14.29,0.0,23.12,1.7
2015-02-14,25.15,36.21,15.92,14.28,0.0,24.23,1.29
