date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,20.94,30.64,13.95,31.31,0.0,20.01,3.95
2015-01-02,20.16,30.33,12.57,30.25,0.0,20.8,4.36
2015-01-03,19.31,29.56,11.76,29.13,0.0,21.46,5.32
2015-01-04,18.2,28.06,10.91,28.36,0.0,20.15,5.34
2015-01-05,17.8,27.08,11.29,29.69,0.0,16.27,4.8
2015-01-06,17.56,27.02,10.41,30.99,0.0,19.51,4.39
2015-01-07,18.02,27.92,10.73,29.16,0.0,20.49,4.77
2015-01-08,18.02,27.37,10.69,29.62,0.0,15.82,4.66
2015-01-09,17.17,25.37,11.18,29.51,0.0,16.24,5.8
2015-01-10,16.23,26.08,9.25,26.49,0.0,17.44,6.09
2015-01-11,16.24,26.48,8.91,26.29,0.0,19.23,5.32
2015-01-12,15.94,25.98,8.91,26.95,0.0,18.65,5.35
2015-01-13,16.35,27.74,7.52,23.66,0.0,22.57,5.0
2015-01-14,18.73,30.52,9.17,24.87,0.0,22.03,4.48
2015-01-15,19.16,30.35,10.78,26.56,0.0,22.16,4.48
2015-01-16,19.85,31.5,11.18,27.58,0.0,22.08,3.73
2015-01-17,20.12,31.52,11.67,27.31,0.0,21.86,2.95
2015-01-18,21.37,32.53,12.38,28.62,0.0,21.63,2.36
2015-01-19,22.06,31.95,13.3,33.74,0.0,20.1,2.11
2015-01-20,23.58,32.17,15.78,45.15,0.0,19.52,1.67
2015-01-21,24.43,33.47,17.21,41.99,0.0,20.9,1.21
2015-01-22,24.17,34.39,15.85,25.73,0.0,21.87,3.58
2015-01-23,24.58,34.75,17.1,24.13,0.0,21.57,3.73
2015-01-24,24.57,35.07,15.95,27.85,0.0,22.69,2.73
2015-01-25,25.26,35.22,15.81,29.96,0.0,19.85,1.77
2015-01-26,25.16,34.65,17.71,31.75,0.0,16.69,2.21
2015-01-27,25.08,35.48,18.29,27.24,0.0,21.56,3.24
2015-01-28,23.81,34.15,15.89,26.08,0.0,18.85,3.35
2015-01-29,23.08,33.45,14.98,23.7,0.0,22.77,3.29
2015-01-30,23.31,32.74,15.08,28.1,0.0,22.06,2.33
2015-01-31,24.52,34.14,16.57,28.93,0.0,21.15,2.38
2015-02-01,25.49,35.21,17.24,27.31,0.0,20.63,2.88
2015-02-02,26.91,37.11,18.61,25.49,0.0,23.42,3.26
2015-02-03,26.43,36.8,18.12,23.77,0.0,22.37,3.03
2015-02-04,26.49,36.77,18.12,23.07,0.0,21.68,3.27
2015-02-05,27.13,37.55,17.89,26.32,0.0,23.51,2.01
2015-02-06,27.4,37.58,18.43,24.96,0.0,23.32,2.66
2015-02-07,27.58,37.55,18.09,24.25,0.0,21.51,2.52
2015-02-08,27.3,37.62,18.49,23.44,0.0,22.29,3.53
2015-02-09,27.71,37.83,19.03,22.82,0.0,23.68,2.92
2015-02-10,27.36,37.04,18.54,16.92,0.02,23.46,3.48
2015-02-11,27.45,36.58,19.92,15.03,0.0,22.66,4.89
2015-02-12,26.9,35.84,19.3,17.09,0.0,20.88,5.43
2015-02-13,26.06,35.8,18.83,16.27,0.0,22.49,4.36
2015-02-14,25.95,35.0,17.49,21.35,0.0,23.71,2.07
2015-02-15,26.86,36.04,18.65,26.5,0.0,21.88,1.31
2015-02-16,27.24,34.08,21.58,46.27,0.02,22.26,1.89
2015-02-17,27.49,34.27,20.98,48.12,0.02,22.32,1.6
2015-02-18,26.93,33.6,20.3,38.68,0.4,18.17,1.47
2015-02-19,27.1,33.97,21.52,47.48,0.0,19.42,1.09
2015-02-20,27.71,35.12,20.68,43.63,0.02,21.88,0.9
2015-02-21,28.67,36.15,21.81,39.8,0.0,21.23,1.53
2015-02-22,27.46,34.04,21.47,31.74,0.0,18.85,3.28
2015-02-23,26.43,32.18,21.3,31.51,0.0,14.49,3.26
2015-02-24,26.22,32.51,21.79,34.27,0.0,17.85,4.01
2015-02-25,26.91,34.6,19.75,27.03,0.0,18.88,2.73
2015-02-26,27.2,34.88,19.75,24.61,0.05,21.44,1.74
2015-02-27,26.32,34.88,19.46,27.96,0.07,19.04,2.74
2015-02-28,25.55,34.49,18.44,17.86,0.0,21.68,3.53
2015-03-01,25.43,34.52,17.56,17.0,0.0,23.17,4.26
2015-03-02,25.42,34.35,17.79,18.19,0.0,22.29,3.78
2015-03-03,25.78,33.92,19.04,20.72,0.0,22.41,4.17
2015-03-04,25.8,33.78,19.11,24.59,0.0,19.12,4.8
2015-03-05,26.58,35.57,19.21,21.61,0.0,21.59,4.88
2015-03-06,26.96,35.88,19.38,21.78,0.0,21.69,3.67
2015-03-07,28.21,37.55,19.49,24.15,0.0,22.71,1.71
2015-03-08,29.08,37.39,21.69,27.14,0.0,22.23,1.16
2015-03-09,28.73,37.88,20.55,23.45,0.0,23.0,2.59
2015-03-10,29.13,37.53,21.71,28.94,0.0,22.72,1.1
2015-03-11,29.89,38.93,22.24,29.94,0.0,22.52,2.66
2015-03-12,27.19,35.85,21.06,18.44,0.0,24.44,3.75
2015-03-13,28.65,37.88,20.87,18.84,0.0,18.02,3.22
2015-03-14,28.53,36.8,22.08,17.98,0.0,19.53,4.66
2015-03-15,28.98,37.67,21.75,19.9,0.0,18.41,3.57
2015-03-16,29.09,36.51,22.62,25.98,0.0,12.0,2.17
2015-03-17,28.46,35.95,21.91,23.85,0.0,17.03,3.71
2015-03-18,28.69,36.9,21.34,22.38,0.0,20.2,3.05
2015-03-19,29.56,38.99,20.97,26.04,0.0,24.69,1.86
2015-03-20,29.87,38.11,22.15,39.05,0.01,22.5,1.08
2015-03-21,29.57,37.02,22.8,48.59,0.37,18.57,2.28
2015-03-22,28.51,34.54,23.77,57.79,0.0,21.76,2.1
2015-03-23,28.49,34.92,22.69,57.45,0.01,24.21,2.07
2015-03-24,27.66,31.99,23.43,62.94,0.07,22.11,3.23
2015-03-25,27.78,33.26,22.77,61.92,0.84,21.8,3.49
2015-03-26,27.94,34.33,23.07,58.76,1.14,16.76,2.5
2015-03-27,28.55,35.51,22.14,41.47,0.0,20.94,2.24
2015-03-28,28.17,36.84,21.2,35.85,0.0,25.03,1.16
2015-03-29,27.57,34.89,20.11,42.16,0.0,25.9,2.24
2015-03-30,27.97,34.98,21.27,44.73,0.0,24.26,1.05
2015-03-31,27.24,33.6,21.39,35.34,0.0,12.2,2.46
2015-04-01,27.37,34.56,20.88,26.79,0.0,11.31,4.82
2015-04-02,27.51,35.26,21.09,24.36,0.08,18.45,4.15
2015-04-03,27.7,35.21,21.37,26.98,0.0,19.75,3.29
2015-04-04,28.91,36.55,21.42,32.01,0.0,20.86,1.37
2015-04-05,29.28,37.28,21.79,43.95,0.33,22.81,0.94
2015-04-06,29.88,38.55,22.13,40.47,0.01,22.2,1.61
2015-04-07,30.43,39.31,22.38,40.34,0.09,22.95,1.87
2015-04-08,28.93,35.04,24.0,54.36,1.21,24.47,2.69
2015-04-09,29.36,36.78,22.85,53.14,0.13,20.11,2.12
2015-04-10,29.55,36.65,23.38,54.54,0.19,20.12,1.32
2015-04-11,29.39,36.78,23.68,33.64,0.0,15.04,3.32
2015-04-12,28.21,35.57,22.28,19.09,0.0,17.07,4.36
2015-04-13,27.28,36.04,20.63,13.85,0.0,20.8,4.49
2015-04-14,27.53,36.67,19.69,12.44,0.0,22.43,4.59
2015-04-15,27.24,37.22,19.09,9.82,0.0,25.15,4.09
2015-04-16,26.58,36.54,17.29,9.19,0.0,26.14,4.09
2015-04-17,27.17,36.74,18.66,11.25,0.0,24.74,4.5
2015-04-18,27.94,37.41,19.36,12.23,0.0,25.23,4.79
2015-04-19,28.62,38.0,20.36,10.78,0.0,25.63,4.6
2015-04-20,29.1,38.56,21.16,11.8,0.0,25.73,3.63
2015-04-21,29.14,39.38,19.44,12.03,0.0,27.55,3.24
2015-04-22,29.91,40.49,19.42,11.13,0.0,27.11,2.53
2015-04-23,30.29,40.89,20.24,11.58,0.0,25.99,2.74
2015-04-24,29.72,38.88,21.43,29.48,0.04,23.0,2.25
2015-04-25,28.35,33.9,23.93,47.13,0.09,19.54,1.53
2015-04-26,29.5,38.09,21.26,18.21,0.0,21.43,2.9
2015-04-27,29.17,38.67,20.53,22.69,0.0,26.62,2.3
2015-04-28,28.19,37.24,19.71,14.06,0.0,28.65,1.91
2015-04-29,28.92,38.88,19.38,24.45,0.02,27.43,1.44
2015-04-30,29.74,40.1,20.31,25.63,0.02,27.34,1.73
2015-05-01,30.19,39.48,21.47,33.99,0.0,25.39,1.7
2015-05-02,30.65,40.16,22.34,34.04,0.0,24.97,1.71
2015-05-03,30.28,38.36,23.04,41.95,0.02,21.39,1.88
2015-05-04,28.97,32.92,25.27,53.71,0.1,16.78,1.67
2015-05-05,29.44,36.24,23.93,49.59,0.28,14.15,1.64
2015-05-06,29.63,38.61,22.96,42.85,0.0,25.29,1.82
2015-05-07,30.26,39.98,20.49,36.28,0.0,25.69,1.55
2015-05-08,30.43,37.79,23.73,51.16,0.55,22.87,2.83
2015-05-09,27.52,32.37,24.12,59.93,3.74,18.36,2.19
2015-05-10,28.16,34.32,22.31,56.56,0.19,23.02,2.12
2015-05-11,29.41,36.42,23.43,51.28,0.08,24.59,2.12
2015-05-12,29.94,37.88,23.96,46.96,0.25,22.04,1.63
2015-05-13,28.43,33.85,23.31,56.34,0.12,20.63,1.6
2015-05-14,26.86,32.17,23.84,65.05,4.38,15.68,1.65
2015-05-15,28.65,35.76,22.94,56.6,1.11,16.78,1.84
2015-05-16,28.51,34.81,24.1,56.98,0.99,19.65,2.7
2015-05-17,30.64,39.11,24.77,37.55,1.21,24.55,2.45
2015-05-18,28.39,35.98,22.33,55.64,1.62,20.26,1.87
2015-05-19,28.0,33.59,22.83,63.33,0.36,20.79,2.69
2015-05-20,29.12,36.16,23.07,58.65,1.28,18.84,2.34
2015-05-21,28.51,34.65,23.56,63.05,1.21,22.04,2.81
2015-05-22,28.78,36.24,22.81,64.34,3.08,21.84,2.06
2015-05-23,25.79,28.53,23.24,79.16,3.9,17.25,2.83
2015-05-24,26.5,31.96,22.41,73.4,2.34,25.64,2.45
2015-05-25,29.15,36.66,22.38,58.39,0.39,23.98,1.51
2015-05-26,29.7,39.07,21.43,51.55,0.48,22.32,1.32
2015-05-27,28.47,35.34,23.01,65.06,2.99,20.73,2.62
2015-05-28,28.53,35.41,23.25,64.13,5.65,24.89,2.13
2015-05-29,29.42,37.1,23.01,60.07,0.32,21.43,2.68
2015-05-30,27.89,34.98,23.07,71.63,15.61,21.73,2.84
2015-05-31,25.67,28.85,23.61,82.76,4.51,18.15,2.34
2015-06-01,25.52,29.22,22.61,80.05,1.24,16.8,2.54
2015-06-02,25.54,30.0,22.19,79.94,1.86,11.33,2.35
2015-06-03,25.19,28.92,22.85,83.85,4.87,17.69,1.98
2015-06-04,25.09,28.56,22.79,82.31,3.81,23.09,1.75
2015-06-05,24.72,28.16,21.95,83.76,3.08,24.27,1.82
2015-06-06,25.52,30.3,22.15,77.48,2.01,14.12,2.52
2015-06-07,24.22,27.86,21.84,82.94,3.38,16.61,2.55
