date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,19.24,26.36,13.83,18.29,0.0,19.29,4.16
2015-01-02,19.27,28.53,11.91,17.94,0.0,19.54,4.46
2015-01-03,18.21,26.47,11.87,15.69,0.0,19.74,5.11
2015-01-04,17.61,26.09,11.28,20.04,0.0,17.8,4.83
2015-01-05,16.79,25.2,10.29,22.5,0.0,14.38,4.41
2015-01-06,16.36,25.41,8.97,24.2,0.0,19.99,4.19
2015-01-07,16.33,25.27,8.98,18.82,0.0,19.31,4.64
2015-01-08,17.0,25.41,10.17,24.74,0.0,12.68,4.98
2015-01-09,16.95,24.65,11.27,21.98,0.0,10.22,5.85
2015-01-10,16.27,24.09,10.05,20.19,0.0,12.24,6.29
2015-01-11,15.6,23.34,9.58,21.38,0.0,15.33,5.23
2015-01-12,14.73,23.51,8.55,20.68,0.0,17.29,5.17
2015-01-13,14.94,24.71,7.01,19.53,0.0,21.09,4.97
2015-01-14,16.46,26.79,8.03,22.76,0.0,21.25,4.43
2015-01-15,17.42,26.63,9.57,25.11,0.0,18.87,4.66
2015-01-16,17.28,26.51,10.14,19.6,0.0,18.19,4.12
2015-01-17,17.5,27.53,9.87,17.4,0.0,18.67,3.26
2015-01-18,18.96,29.8,10.05,16.44,0.0,20.13,2.7
2015-01-19,20.81,31.49,10.62,15.15,0.0,19.94,2.23
2015-01-20,22.84,33.41,13.4,17.55,0.0,18.34,1.78
2015-01-21,23.61,33.97,14.68,17.74,0.0,20.48,1.94
2015-01-22,24.38,34.58,16.64,18.36,0.0,20.56,2.79
2015-01-23,25.14,35.22,16.57,21.0,0.0,21.51,2.8
2015-01-24,25.11,35.08,16.35,23.29,0.0,22.25,2.07
2015-01-25,24.79,34.89,15.6,19.54,0.0,21.5,1.9
2015-01-26,24.65,34.96,15.43,17.42,0.0,21.11,2.27
2015-01-27,24.0,34.25,15.65,15.96,0.0,21.92,2.97
2015-01-28,22.86,32.65,15.06,12.31,0.0,21.22,3.72
2015-01-29,21.28,30.31,13.89,13.58,0.0,22.18,3.86
2015-01-30,21.73,31.07,13.4,14.33,0.0,21.93,2.72
2015-01-31,22.34,30.68,14.35,15.51,0.0,19.44,2.33
2015-02-01,25.19,35.21,15.77,15.66,0.0,22.55,1.91
2015-02-02,26.44,36.17,18.54,13.75,0.0,23.32,2.61
2015-02-03,26.13,36.72,17.0,13.42,0.0,22.08,2.76
2015-02-04,26.49,37.18,16.89,14.32,0.0,23.28,2.92
2015-02-05,27.3,37.57,18.16,14.9,0.0,23.46,2.04
2015-02-06,27.6,37.89,18.48,10.97,0.0,23.8,2.04
2015-02-07,27.88,38.02,18.92,10.9,0.0,23.05,2.55
2015-02-08,28.2,38.64,19.59,10.44,0.0,23.65,2.93
2015-02-09,27.33,38.01,18.32,9.96,0.0,24.01,2.99
2015-02-10,27.11,37.46,18.1,10.0,0.0,23.38,3.96
