date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,26.39,34.8,20.17,51.42,0.0,19.71,1.94
2015-01-02,25.74,34.77,17.78,40.25,0.0,21.25,2.11
2015-01-03,24.86,34.61,17.21,35.43,0.0,17.91,2.69
2015-01-04,23.85,33.47,16.07,33.39,0.0,19.36,2.95
2015-01-05,23.32,32.33,16.29,34.04,0.0,15.71,2.49
2015-01-06,22.64,30.28,15.81,35.72,0.0,14.97,2.4
2015-01-07,23.55,32.48,16.81,35.53,0.0,18.44,3.04
2015-01-08,23.58,32.35,16.78,34.19,0.0,17.69,2.78
2015-01-09,23.14,32.57,15.68,29.82,0.0,18.76,3.98
2015-01-10,21.89,31.32,15.59,27.23,0.0,20.46,4.24
2015-01-11,21.47,31.34,13.37,28.05,0.0,18.47,3.25
2015-01-12,21.67,31.97,13.43,27.85,0.0,20.53,3.3
2015-01-13,22.02,32.6,12.94,29.34,0.0,20.4,3.06
2015-01-14,23.81,34.1,15.08,30.66,0.0,20.14,2.89
2015-01-15,24.41,34.47,15.67,31.18,0.0,20.84,2.36
2015-01-16,25.36,34.78,17.03,30.96,0.0,20.44,2.07
2015-01-17,25.57,34.69,16.88,32.18,0.0,19.01,1.51
2015-01-18,25.49,34.93,18.41,41.68,0.0,18.45,1.61
2015-01-19,26.28,35.01,18.04,58.33,0.05,18.39,1.68
2015-01-20,27.88,35.69,20.52,60.37,0.07,19.44,1.88
2015-01-21,29.12,36.69,22.06,58.28,0.0,19.2,1.92
2015-01-22,29.34,37.61,22.78,53.64,0.0,18.38,2.17
2015-01-23,28.81,37.42,22.39,54.65,0.0,16.45,1.61
2015-01-24,28.69,36.22,22.16,64.26,0.0,16.73,2.13
2015-01-25,29.19,36.0,23.34,63.84,0.01,16.28,2.38
2015-01-26,29.07,34.43,24.29,63.75,0.03,13.24,1.65
2015-01-27,28.8,35.0,24.1,65.88,0.01,15.15,2.39
2015-01-28,29.02,35.76,23.0,64.33,0.02,16.1,2.04
2015-01-29,28.86,34.48,23.91,63.64,0.03,16.1,2.01
2015-01-30,29.51,36.18,23.47,60.99,0.02,16.16,2.07
2015-01-31,29.88,36.57,24.19,59.88,0.0,16.5,2.08
2015-02-01,30.09,37.41,24.15,55.38,0.0,14.1,2.1
2015-02-02,29.72,37.26,23.98,59.58,0.0,16.94,2.06
2015-02-03,30.05,37.79,23.55,60.83,0.0,17.1,2.24
2015-02-04,30.26,38.01,23.99,58.2,0.0,16.71,2.06
2015-02-05,30.56,37.99,23.96,59.9,0.03,17.25,2.49
2015-02-06,29.56,34.58,25.39,65.96,0.17,17.36,2.81
2015-02-07,29.62,35.47,24.8,66.38,0.07,15.21,2.89
2015-02-08,29.92,36.34,24.93,64.5,0.16,15.26,2.77
2015-02-09,30.57,37.86,24.22,61.22,0.12,18.54,2.32
2015-02-10,28.47,31.94,25.48,70.01,0.22,16.9,2.87
2015-02-11,29.92,36.99,24.09,62.68,0.01,17.92,2.01
2015-02-12,28.53,34.21,24.08,60.77,0.07,18.67,1.93
2015-02-13,28.45,34.58,23.59,62.72,0.04,17.78,1.95
2015-02-14,28.4,33.03,23.87,67.78,0.06,17.23,2.51
2015-02-15,29.45,35.62,24.33,64.9,0.43,20.17,3.44
2015-02-16,29.43,35.71,24.12,64.91,0.88,16.61,3.09
2015-02-17,29.77,36.79,24.32,63.18,1.19,16.37,3.33
2015-02-18,26.76,30.11,24.31,77.09,3.1,8.95,2.94
2015-02-19,28.34,34.36,23.3,66.45,0.2,20.15,2.37
2015-02-20,29.45,36.06,23.57,62.95,0.16,17.39,2.42
2015-02-21,29.69,36.5,24.23,63.77,0.28,16.92,3.2
2015-02-22,28.46,32.51,24.96,67.27,0.64,15.82,3.18
2015-02-23,28.99,34.41,24.6,64.46,0.13,16.4,2.54
2015-02-24,28.98,34.73,24.88,66.84,0.5,16.26,2.56
2015-02-25,28.95,34.96,24.32,64.23,0.4,16.13,2.24
2015-02-26,28.7,33.92,24.53,65.53,0.73,14.93,2.76
2015-02-27,28.28,33.14,24.2,67.23,0.59,13.53,1.98
2015-02-28,29.63,36.33,24.03,60.82,0.05,19.92,1.6
2015-03-01,29.68,36.93,24.29,51.25,0.03,20.0,1.83
2015-03-02,30.22,37.68,24.21,55.89,0.0,20.56,1.97
2015-03-03,29.91,36.48,24.48,58.63,0.01,18.41,2.7
2015-03-04,29.95,37.8,24.32,44.5,0.0,19.0,2.62
2015-03-05,29.33,37.35,22.52,44.24,0.0,18.82,1.87
2015-03-06,29.85,37.47,23.98,56.1,0.0,17.93,2.12
2015-03-07,30.35,37.87,24.15,60.33,0.68,16.62,2.74
2015-03-08,30.32,36.75,25.1,63.53,1.79,17.13,2.98
2015-03-09,29.64,35.49,25.57,64.66,1.14,17.89,2.87
2015-03-10,28.59,33.03,24.89,71.44,0.75,20.16,2.89
2015-03-11,28.94,34.13,24.71,68.76,0.75,17.0,2.86
2015-03-12,29.87,35.63,24.68,63.34,0.85,20.08,1.86
2015-03-13,30.24,37.05,24.45,60.88,0.32,21.37,2.62
2015-03-14,30.25,37.16,24.52,61.4,0.74,17.53,1.97
2015-03-15,30.34,37.11,25.2,62.48,0.99,15.88,2.44
2015-03-16,28.34,31.19,25.96,71.57,0.7,13.35,2.54
2015-03-17,27.45,30.64,24.98,78.36,17.68,13.6,2.01
2015-03-18,27.43,32.0,24.05,73.94,2.15,15.32,1.27
2015-03-19,28.55,34.99,23.29,71.42,1.32,20.65,2.58
2015-03-20,28.3,33.64,24.56,73.32,4.77,19.07,2.94
2015-03-21,26.97,30.93,24.67,83.18,18.3,13.89,2.56
2015-03-22,28.0,33.53,23.96,76.38,2.62,16.52,2.38
2015-03-23,27.79,32.21,24.18,79.02,1.64,21.55,2.57
2015-03-24,27.72,32.45,24.66,73.63,1.44,19.95,3.13
2015-03-25,28.1,33.73,23.4,73.92,4.67,16.54,3.04
2015-03-26,27.34,31.1,24.44,81.49,13.18,18.66,1.71
2015-03-27,27.58,32.19,24.06,77.76,0.19,17.09,2.74
2015-03-28,27.91,32.57,24.12,75.59,0.28,20.95,2.89
2015-03-29,27.63,32.04,23.94,76.68,0.31,21.55,2.78
2015-03-30,27.69,33.01,23.71,75.06,0.87,19.85,1.81
2015-03-31,27.08,31.29,24.1,74.97,1.67,13.34,1.31
2015-04-01,27.87,34.01,23.08,65.27,0.01,14.61,1.62
2015-04-02,28.11,34.23,23.33,68.17,0.09,17.43,2.15
2015-04-03,27.67,32.11,24.2,74.46,0.26,16.22,2.23
2015-04-04,28.53,34.18,24.54,71.86,1.63,16.04,2.45
2015-04-05,27.69,32.44,24.28,75.45,4.16,16.63,2.88
2015-04-06,28.51,34.2,23.8,72.59,1.09,17.99,2.05
2015-04-07,28.24,33.15,24.88,76.92,2.32,18.76,2.58
2015-04-08,26.96,30.34,24.55,79.73,5.46,17.54,2.3
2015-04-09,27.61,32.72,23.91,76.82,0.17,15.97,3.15
2015-04-10,28.27,33.55,24.05,74.85,0.85,17.58,2.35
2015-04-11,28.24,32.71,24.4,74.14,0.5,16.89,1.56
2015-04-12,28.37,33.71,24.5,72.17,0.22,14.02,1.94
2015-04-13,28.69,35.62,24.2,58.67,0.01,14.62,1.59
2015-04-14,28.48,36.03,22.98,46.4,0.0,16.23,1.77
2015-04-15,28.89,36.92,21.62,57.6,0.02,17.64,1.81
2015-04-16,29.84,36.74,24.23,63.06,0.03,17.33,1.88
2015-04-17,29.82,38.01,23.85,58.14,0.01,19.98,2.0
2015-04-18,30.05,38.44,23.01,57.72,0.01,19.99,1.77
2015-04-19,29.84,36.88,24.28,63.87,0.02,20.87,2.08
2015-04-20,29.94,36.68,24.51,64.35,0.08,20.65,2.21
2015-04-21,29.12,34.17,25.09,67.67,0.51,21.5,1.9
2015-04-22,29.83,36.23,24.64,66.98,1.0,20.49,2.52
2015-04-23,30.44,37.5,25.13,65.14,0.74,19.1,3.17
2015-04-24,28.64,33.33,25.09,72.27,1.32,19.18,2.97
2015-04-25,28.18,32.55,24.48,73.08,2.44,19.47,2.55
2015-04-26,27.94,32.27,25.04,73.65,0.32,15.35,2.8
2015-04-27,29.81,37.33,23.12,61.92,0.14,23.94,1.93
2015-04-28,29.63,35.29,24.96,64.16,0.09,22.38,2.84
2015-04-29,29.75,36.19,24.58,66.36,0.31,20.58,3.19
2015-04-30,29.96,36.42,24.71,66.03,0.65,24.92,3.11
2015-05-01,29.2,34.15,25.2,70.09,0.92,19.72,3.19
2015-05-02,28.9,34.27,24.99,70.81,0.86,18.5,3.02
2015-05-03,28.71,34.34,24.08,71.33,1.82,18.88,2.74
2015-05-04,28.77,33.94,24.86,70.83,1.03,20.3,2.14
2015-05-05,26.51,29.88,23.47,78.0,2.16,5.8,2.72
2015-05-06,29.02,36.52,23.03,65.88,0.01,23.51,1.81
2015-05-07,29.97,37.05,24.33,65.56,0.08,21.87,3.26
2015-05-08,28.6,32.91,25.32,71.75,0.13,21.05,2.73
2015-05-09,28.67,32.92,25.08,69.83,0.25,21.17,2.25
2015-05-10,28.57,33.49,24.86,68.36,0.47,21.48,2.45
2015-05-11,29.12,34.72,24.22,66.65,1.75,21.23,2.06
2015-05-12,27.9,32.31,24.75,76.85,6.23,20.27,2.33
2015-05-13,28.05,32.57,24.58,75.41,6.25,18.41,1.7
2015-05-14,26.3,29.37,24.22,86.67,15.66,13.82,1.36
2015-05-15,27.77,32.16,24.17,77.92,4.55,21.67,0.77
2015-05-16,27.09,30.31,24.08,78.72,0.31,16.12,1.23
2015-05-17,28.26,33.88,23.87,74.63,1.46,20.76,2.03
2015-05-18,27.81,32.51,24.37,77.09,1.36,17.71,2.55
2015-05-19,27.8,31.89,24.46,76.43,0.6,21.45,2.23
2015-05-20,28.59,34.25,24.36,72.45,0.24,19.92,2.26
2015-05-21,28.03,32.93,24.64,76.71,1.78,23.19,2.47
2015-05-22,28.88,35.1,24.15,74.15,1.01,19.12,2.18
2015-05-23,26.88,30.18,24.52,81.01,2.74,6.72,2.17
2015-05-24,27.47,33.1,23.07,75.59,3.06,21.41,2.54
2015-05-25,28.79,34.8,23.61,71.39,0.73,23.02,2.01
2015-05-26,28.23,32.9,24.64,74.98,0.73,17.62,3.0
2015-05-27,27.67,32.13,23.99,77.89,1.24,17.24,2.54
2015-05-28,27.21,31.39,24.27,78.41,1.18,19.59,2.56
2015-05-29,27.99,33.6,24.01,75.08,0.52,22.17,2.52
2015-05-30,28.01,33.18,23.77,76.03,2.12,18.93,2.67
2015-05-31,26.51,30.09,24.38,86.07,10.11,20.34,2.55
2015-06-01,26.78,30.95,23.93,82.17,2.82,16.5,2.83
2015-06-02,26.09,29.38,23.78,85.7,6.05,11.27,2.42
2015-06-03,25.83,28.95,23.52,85.4,3.17,14.76,1.91
2015-06-04,26.45,30.25,23.63,83.79,3.69,17.96,1.89
2015-06-05,26.92,31.1,23.73,82.28,7.2,16.89,1.69
2015-06-06,26.05,29.85,23.66,85.73,3.38,16.62,2.43
2015-06-07,26.08,29.96,23.17,82.61,2.57,14.89,1.83
2015-06-08,25.44,29.1,23.24,86.29,2.62,13.87,2.39
2015-06-09,26.89,32.4,21.76,77.73,1.54,18.58,1.52
2015-06-10,27.57,32.84,23.29,77.77,2.31,19.52,1.79
2015-06-11,26.71,30.61,23.79,82.36,1.71,17.17,2.47
2015-06-12,26.61,30.92,23.5,82.02,3.21,8.99,2.63
2015-06-13,25.87,28.92,23.83,84.82,2.46,17.17,2.02
2015-06-14,26.95,31.98,23.27,79.01,1.88,17.91,2.18
2015-06-15,27.5,32.66,23.21,76.16,0.81,14.91,2.21
2015-06-16,27.6,33.83,23.12,77.37,2.46,13.86,2.98
2015-06-17,27.71,33.17,23.42,76.67,3.68,17.37,2.66
2015-06-18,26.27,29.46,24.11,84.57,3.15,18.68,2.66
2015-06-19,26.34,29.99,23.47,83.64,7.01,15.65,2.44
2015-06-20,25.49,28.82,23.41,86.84,6.85,18.36,2.44
2015-06-21,26.25,31.2,22.49,81.16,3.39,12.02,2.95
2015-06-22,25.62,29.29,22.71,83.97,1.89,16.67,2.39
2015-06-23,26.87,32.1,22.99,78.68,2.26,18.94,2.46
2015-06-24,26.96,32.05,22.96,79.17,4.02,18.53,2.46
2015-06-25,26.57,31.4,23.12,79.57,3.56,17.81,3.03
2015-06-26,26.04,30.22,23.01,80.19,2.18,16.65,2.14
2015-06-27,26.86,31.55,23.02,78.14,2.95,13.44,1.74
2015-06-28,26.65,30.71,23.35,81.0,3.09,17.92,2.06
2015-06-29,26.99,32.44,22.79,77.87,1.05,12.98,2.78
2015-06-30,26.96,32.46,23.13,79.26,7.55,16.67,2.85
2015-07-01,26.81,31.92,22.68,80.64,14.56,17.67,2.62
2015-07-02,26.37,30.38,23.17,84.23,21.65,13.2,2.18
2015-07-03,24.8,27.64,22.98,89.24,15.22,9.97,2.59
2015-07-04,25.3,28.68,22.46,86.15,6.25,11.08,1.75
2015-07-05,25.5,28.58,22.69,85.91,1.59,12.88,1.26
2015-07-06,26.75,31.52,21.73,80.4,1.28,19.17,1.29
2015-07-07,26.37,28.82,23.46,84.55,2.2,12.34,1.03
2015-07-08,26.41,29.56,23.82,86.19,1.92,19.37,1.15
2015-07-09,26.96,30.5,23.63,82.41,1.83,16.68,1.27
2015-07-10,25.87,29.09,23.63,87.84,5.31,10.89,1.65
2015-07-11,25.49,28.35,23.46,90.98,9.1,16.68,1.75
2015-07-12,26.09,29.86,23.4,85.19,5.23,15.43,2.09
