date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,23.58,30.17,17.85,71.26,0.0,20.74,1.05
2015-01-02,24.85,30.33,18.95,72.91,0.0,21.73,1.01
2015-01-03,23.89,29.36,18.91,73.57,0.0,19.15,1.27
2015-01-04,21.94,28.13,15.44,63.56,0.0,21.05,1.63
2015-01-05,21.52,28.12,14.08,61.46,0.0,18.59,1.35
2015-01-06,20.56,26.41,14.1,68.79,0.0,19.96,1.27
2015-01-07,21.97,27.52,16.71,64.75,0.0,16.01,1.18
2015-01-08,22.69,28.76,16.13,65.59,0.0,18.54,1.16
2015-01-09,21.1,27.31,15.48,68.91,0.0,18.64,1.54
2015-01-10,19.54,26.87,12.65,65.32,0.0,21.2,1.74
2015-01-11,19.68,26.88,12.47,61.64,0.0,19.84,1.67
2015-01-12,19.63,28.19,11.83,60.74,0.0,20.95,1.81
2015-01-13,19.58,26.23,11.45,59.39,0.0,20.16,1.53
2015-01-14,21.02,28.17,13.68,62.61,0.0,21.32,1.48
2015-01-15,21.91,29.21,15.24,69.63,0.0,21.55,1.22
2015-01-16,22.8,29.97,16.56,75.58,0.01,20.09,0.98
2015-01-17,23.71,30.58,17.31,79.58,0.02,19.24,0.74
2015-01-18,24.89,30.78,20.41,84.4,0.02,18.82,0.83
2015-01-19,25.11,30.63,20.93,85.82,0.07,17.56,1.17
2015-01-20,25.29,30.58,21.15,86.18,0.11,17.48,1.18
2015-01-21,25.99,31.29,21.81,84.77,0.0,18.56,0.99
2015-01-22,26.38,31.6,22.35,84.24,0.0,18.89,1.0
2015-01-23,26.34,31.24,22.42,85.45,0.0,14.47,1.07
2015-01-24,26.12,30.33,23.03,87.91,0.0,16.21,1.41
2015-01-25,26.07,30.23,22.5,87.39,0.0,14.64,1.34
2015-01-26,25.96,29.88,23.16,88.57,0.06,16.38,1.04
2015-01-27,25.97,30.11,23.02,87.7,0.05,15.94,1.15
2015-01-28,26.57,31.15,23.21,86.07,0.05,18.22,1.38
2015-01-29,26.46,30.53,23.48,87.43,0.11,17.65,1.3
2015-01-30,26.6,30.91,23.35,86.24,0.16,15.93,1.12
2015-01-31,26.36,30.26,23.22,87.19,0.09,18.45,1.07
2015-02-01,26.03,28.78,23.97,90.42,0.04,17.35,0.8
2015-02-02,27.18,31.94,24.03,86.12,0.04,17.44,0.97
2015-02-03,27.05,31.37,23.67,86.45,0.08,14.17,1.39
2015-02-04,27.17,31.65,23.67,85.51,0.09,16.15,1.1
2015-02-05,27.19,31.5,23.84,86.46,0.0,17.28,1.42
2015-02-06,26.77,30.11,24.27,88.7,0.0,17.53,1.31
2015-02-07,26.46,29.87,23.9,89.45,0.0,15.21,1.21
2015-02-08,27.22,32.14,23.81,85.51,0.0,18.2,1.54
2015-02-09,27.09,31.06,24.49,86.04,0.0,17.43,1.71
2015-02-10,26.29,29.0,24.3,90.1,3.33,19.01,1.17
2015-02-11,26.66,30.91,23.43,87.21,2.88,13.45,1.22
2015-02-12,26.07,29.12,23.87,89.58,7.0,18.17,1.35
2015-02-13,26.26,29.8,23.59,88.49,3.56,16.42,1.44
2015-02-14,26.14,29.09,24.06,91.1,2.75,15.85,1.44
2015-02-15,26.61,30.47,23.94,87.3,0.66,19.2,1.5
2015-02-16,25.99,29.21,23.39,89.15,0.75,18.19,1.35
2015-02-17,26.3,30.07,23.37,89.62,2.1,17.6,1.35
2015-02-18,25.64,28.23,23.74,92.59,4.24,6.83,1.57
2015-02-19,25.78,29.23,23.1,86.14,0.48,16.17,1.27
2015-02-20,26.36,31.14,22.45,84.73,0.57,18.25,1.38
2015-02-21,26.75,31.42,23.02,84.53,0.62,18.11,1.51
2015-02-22,26.19,28.7,24.0,88.35,2.25,17.15,1.19
2015-02-23,26.22,29.12,24.24,89.65,1.33,12.59,0.72
2015-02-24,26.66,30.52,24.02,81.66,0.29,16.94,0.93
2015-02-25,26.85,31.24,23.9,83.97,0.0,15.24,0.89
2015-02-26,26.5,30.11,23.65,87.82,0.0,15.59,1.31
2015-02-27,26.34,29.68,23.82,86.46,0.0,10.38,0.74
2015-02-28,26.67,30.99,23.26,84.48,0.0,20.42,0.84
2015-03-01,26.83,31.38,23.93,84.03,0.0,16.99,0.94
2015-03-02,27.09,32.1,23.64,77.3,0.15,19.29,1.01
2015-03-03,26.96,31.31,23.72,85.41,0.46,18.88,1.39
2015-03-04,27.18,32.1,24.24,82.56,0.44,17.21,1.01
2015-03-05,26.88,31.01,23.6,85.46,0.23,18.29,0.83
2015-03-06,27.22,31.25,24.59,85.15,0.22,17.5,1.2
2015-03-07,26.9,30.88,23.83,87.33,2.02,16.74,1.11
2015-03-08,26.96,31.16,23.84,86.57,2.2,18.29,1.31
2015-03-09,27.1,30.86,24.71,88.08,3.26,17.64,1.26
2015-03-10,26.58,29.64,24.09,90.26,2.49,21.3,1.08
2015-03-11,26.21,28.89,24.2,91.31,2.5,18.2,1.37
2015-03-12,27.4,32.3,23.57,85.06,6.46,20.49,1.04
2015-03-13,27.42,31.44,24.08,86.75,4.64,9.94,1.15
2015-03-14,27.89,32.6,24.41,84.62,3.63,20.24,0.84
2015-03-15,27.12,30.65,24.57,89.22,5.55,16.3,1.19
2015-03-16,26.51,28.35,25.05,91.17,6.37,7.39,1.35
2015-03-17,26.38,28.92,24.82,91.92,27.6,15.03,1.32
2015-03-18,26.67,29.87,24.11,87.24,6.91,13.66,0.86
2015-03-19,26.53,29.77,24.13,90.37,6.41,18.54,1.1
2015-03-20,26.14,28.96,23.83,92.53,14.28,21.43,1.26
2015-03-21,26.27,28.87,24.55,93.02,36.8,14.28,1.32
2015-03-22,25.94,28.88,23.85,91.58,11.48,15.11,0.93
2015-03-23,26.36,29.57,23.83,90.86,2.86,20.09,1.25
2015-03-24,26.34,29.13,24.53,89.63,18.54,19.95,1.25
2015-03-25,26.42,28.84,24.82,91.88,30.27,12.66,1.35
2015-03-26,26.06,28.66,24.35,91.4,9.69,15.76,1.05
2015-03-27,25.98,28.72,23.82,91.62,0.31,14.48,1.29
2015-03-28,26.39,29.21,24.32,90.84,0.25,18.69,1.4
2015-03-29,26.6,29.52,24.55,91.3,0.44,19.66,1.38
2015-03-30,26.59,30.05,23.9,88.37,0.6,16.16,1.22
2015-03-31,25.66,28.58,23.82,88.02,0.28,7.88,0.98
2015-04-01,25.65,29.03,22.86,86.1,1.78,12.58,0.67
2015-04-02,26.29,30.65,22.78,82.76,0.09,18.27,0.91
2015-04-03,26.15,29.01,23.83,91.45,2.43,17.81,1.03
2015-04-04,25.86,28.0,24.36,93.77,5.65,17.69,1.03
2015-04-05,25.95,28.76,24.23,91.91,12.14,20.35,1.34
2015-04-06,26.21,29.42,23.69,89.84,1.43,19.68,1.12
2015-04-07,26.17,29.03,24.12,90.05,1.05,20.07,1.17
2015-04-08,26.19,29.29,23.94,91.42,1.57,18.37,1.03
2015-04-09,26.09,28.63,24.36,91.9,1.48,17.81,1.33
2015-04-10,26.07,28.71,24.04,91.59,1.24,17.61,1.13
2015-04-11,26.07,28.92,23.82,91.25,1.92,16.75,0.98
2015-04-12,26.17,28.8,24.13,91.28,2.76,14.71,0.86
2015-04-13,27.04,30.93,24.27,85.43,0.09,14.71,0.6
2015-04-14,27.58,32.09,24.09,83.17,0.08,14.61,0.68
2015-04-15,27.48,31.86,24.05,86.01,0.72,16.49,0.99
2015-04-16,27.43,31.42,24.35,85.42,0.0,17.95,1.03
2015-04-17,27.7,32.38,24.38,83.5,0.0,18.79,0.95
2015-04-18,27.48,31.66,24.26,85.7,0.0,19.09,0.99
2015-04-19,26.93,30.36,24.29,88.27,0.0,19.88,0.93
2015-04-20,26.8,29.73,24.46,89.21,0.0,20.65,0.9
2015-04-21,26.87,29.96,24.55,90.61,5.29,21.55,0.98
2015-04-22,26.96,30.19,24.59,90.19,5.74,19.06,1.16
2015-04-23,26.65,29.72,24.29,89.93,5.49,18.54,1.37
2015-04-24,26.24,28.91,24.36,92.42,5.79,19.14,1.26
2015-04-25,26.57,29.56,24.57,91.14,8.29,22.08,1.26
2015-04-26,26.23,28.97,23.89,91.2,1.15,13.24,1.19
2015-04-27,26.7,30.75,23.27,86.11,0.85,21.7,0.84
2015-04-28,26.35,29.31,23.94,89.39,0.54,21.18,1.04
2015-04-29,26.82,30.46,23.97,89.33,1.38,22.26,1.3
2015-04-30,26.35,29.46,24.18,91.07,2.23,22.96,1.09
2015-05-01,26.32,29.02,24.22,92.1,9.77,21.61,1.17
2015-05-02,26.33,29.28,23.92,92.03,6.99,21.36,1.2
2015-05-03,26.56,29.2,24.42,92.06,16.6,20.48,1.28
2015-05-04,26.52,29.23,24.48,91.13,11.33,17.55,1.09
2015-05-05,25.8,28.29,23.97,92.19,6.51,8.73,1.12
2015-05-06,26.42,30.4,23.28,85.98,0.1,21.58,0.92
2015-05-07,26.72,30.46,23.36,88.88,0.76,22.53,1.33
2015-05-08,26.66,29.24,24.94,91.75,1.94,22.08,1.3
2015-05-09,26.38,28.98,24.12,90.64,1.14,20.05,1.01
2015-05-10,26.25,28.86,24.12,91.17,1.39,18.0,1.03
2015-05-11,26.19,28.89,23.81,91.3,3.42,17.55,0.91
2015-05-12,26.42,29.22,24.18,92.18,7.53,17.76,1.13
2015-05-13,26.75,29.54,24.61,90.97,8.89,20.28,0.86
2015-05-14,25.98,28.16,24.39,93.91,13.37,8.6,0.98
2015-05-15,26.56,29.77,23.66,87.17,2.45,20.66,0.89
2015-05-16,26.2,28.89,23.77,89.11,0.69,14.96,0.72
2015-05-17,26.4,29.35,23.78,91.02,3.81,15.67,1.09
2015-05-18,25.77,28.11,24.04,92.05,4.39,17.97,1.44
2015-05-19,26.22,29.37,23.65,89.44,1.1,19.47,1.14
2015-05-20,26.25,28.93,23.99,90.76,1.17,7.61,0.89
2015-05-21,26.44,29.47,24.04,91.13,2.8,20.48,1.15
2015-05-22,26.52,29.37,24.39,91.67,3.16,15.65,1.0
2015-05-23,25.63,27.93,23.71,93.6,7.02,4.31,1.17
2015-05-24,25.56,29.07,22.89,90.38,8.33,20.82,1.15
2015-05-25,26.62,30.73,23.4,86.25,0.28,22.65,1.04
2015-05-26,26.35,29.15,23.92,90.13,1.76,17.17,1.42
2015-05-27,25.94,28.17,24.41,93.38,3.93,17.02,1.38
2015-05-28,25.61,28.19,23.64,91.58,2.72,17.09,1.28
2015-05-29,25.48,27.9,23.79,92.62,1.37,16.54,1.07
2015-05-30,26.22,29.6,23.31,90.22,3.02,19.75,1.44
2015-05-31,25.59,27.17,24.52,94.91,9.56,15.33,1.21
2015-06-01,25.78,28.42,24.17,92.84,5.77,14.53,1.42
2015-06-02,25.46,27.6,24.1,94.31,10.46,6.0,1.33
2015-06-03,25.51,27.84,23.96,93.08,9.07,13.31,1.28
2015-06-04,25.6,28.09,23.72,93.0,6.15,12.99,1.17
2015-06-05,24.96,27.1,23.42,93.69,14.03,4.15,1.11
2015-06-06,25.18,28.23,22.82,92.65,6.88,17.25,1.27
2015-06-07,25.27,27.85,23.36,93.63,8.82,7.24,1.08
2015-06-08,24.75,27.06,23.17,93.49,3.18,14.08,1.12
2015-06-09,25.63,29.18,22.81,90.16,6.18,12.72,1.17
2015-06-10,25.72,29.0,23.21,90.69,6.19,16.31,1.21
2015-06-11,25.04,27.23,23.56,91.87,3.26,17.26,1.27
2015-06-12,25.58,28.46,23.62,92.71,5.17,10.43,1.23
2015-06-13,25.03,27.09,23.67,94.46,5.21,16.97,1.3
2015-06-14,25.44,28.56,23.32,91.85,6.36,6.55,1.3
2015-06-15,25.9,29.88,23.14,89.0,1.15,17.67,1.37
2015-06-16,25.96,29.65,23.51,87.96,1.72,13.21,1.87
2015-06-17,24.95,27.09,23.34,92.34,1.23,17.18,1.28
2015-06-18,25.23,27.73,23.36,92.37,1.6,10.76,1.41
2015-06-19,25.56,28.88,23.29,90.17,2.75,18.61,1.6
2015-06-20,24.79,27.22,23.08,94.23,17.6,2.91,1.26
2015-06-21,24.99,28.66,22.4,90.86,14.43,7.81,1.49
2015-06-22,25.15,28.86,22.62,90.88,6.41,12.44,1.47
2015-06-23,25.09,28.35,22.85,90.67,7.29,15.87,1.42
2015-06-24,25.4,29.11,22.41,89.9,8.77,19.7,1.5
2015-06-25,25.31,28.72,23.13,90.53,11.05,14.73,1.72
2015-06-26,25.36,28.65,22.99,89.63,7.4,14.55,1.32
2015-06-27,25.14,28.06,23.16,91.76,9.91,15.7,1.32
2015-06-28,25.35,28.88,23.08,90.81,15.46,8.82,1.6
2015-06-29,25.27,28.71,23.29,90.53,7.1,15.04,1.67
2015-06-30,25.38,29.08,23.02,89.71,4.89,10.1,1.6
2015-07-01,25.43,28.95,23.27,89.11,4.43,19.66,1.75
2015-07-02,25.28,28.86,22.93,91.76,13.89,7.33,1.59
2015-07-03,25.02,28.29,23.16,90.68,10.03,10.32,1.57
2015-07-04,25.22,28.71,22.57,90.6,4.21,11.34,1.26
2015-07-05,24.85,27.36,23.05,92.14,1.25,6.17,1.05
2015-07-06,25.12,27.9,22.72,91.22,1.0,20.0,0.89
2015-07-07,25.57,29.0,23.4,91.18,1.44,16.24,1.07
2015-07-08,25.66,28.81,23.18,90.92,1.57,16.06,1.06
2015-07-09,26.09,29.79,23.16,89.4,1.5,18.13,1.0
2015-07-10,25.53,27.9,23.8,92.92,16.49,5.37,1.28
2015-07-11,25.08,27.3,23.41,93.9,13.22,16.48,0.93
2015-07-12,25.12,28.16,23.16,92.33,6.6,17.42,1.23
2015-07-13,25.12,28.14,22.89,91.21,5.03,20.77,1.34
2015-07-14,25.26,28.62,22.72,91.22,7.92,17.37,1.41
2015-07-15,25.27,28.54,23.32,91.89,5.19,16.46,1.57
2015-07-16,25.05,28.11,23.0,91.91,5.95,6.3,1.64
2015-07-17,25.5,29.07,22.69,89.51,2.37,15.02,1.13
2015-07-18,25.38,28.62,23.53,90.96,4.19,17.38,1.87
2015-07-19,25.15,28.44,23.38,91.13,5.18,14.23,1.76
2015-07-20,24.91,28.11,22.9,88.13,0.09,15.85,2.36
2015-07-21,24.81,28.61,22.18,86.97,0.07,19.91,1.81
2015-07-22,24.79,29.16,21.36,86.86,0.01,19.19,1.27
2015-07-23,24.82,29.19,20.99,86.64,0.03,19.08,1.53
2015-07-24,24.59,27.94,22.55,87.95,0.08,12.83,1.45
2015-07-25,24.62,28.07,21.97,88.9,1.84,15.7,1.48
2015-07-26,24.81,28.75,21.96,87.45,0.57,20.45,1.63
2015-07-27,24.12,26.79,22.36,90.39,6.43,10.54,1.87
2015-07-28,23.57,26.35,21.8,89.79,1.31,11.64,1.56
2015-07-29,24.04,27.94,20.98,87.24,0.2,17.89,1.38
2015-07-30,24.45,28.7,21.32,87.32,0.38,15.07,1.64
2015-07-31,24.73,28.66,21.97,87.55,0.39,17.96,1.57
2015-08-01,24.8,29.03,21.69,88.06,0.73,17.69,1.59
2015-08-02,24.95,29.12,22.4,88.25,0.4,15.9,1.57
2015-08-03,24.84,28.71,22.02,88.97,0.28,15.25,1.55
2015-08-04,25.0,29.15,21.87,88.18,0.55,14.89,1.5
2015-08-05,24.97,28.86,21.97,88.71,0.52,16.0,1.37
2015-08-06,25.02,28.59,22.66,89.8,1.4,17.68,1.59
2015-08-07,24.93,28.41,22.53,90.23,1.39,12.05,1.7
2015-08-08,24.78,28.08,22.66,90.71,1.51,14.29,1.29
2015-08-09,25.25,29.15,22.62,88.42,1.62,17.76,1.39
2015-08-10,25.13,28.95,22.57,88.55,1.9,12.55,1.99
2015-08-11,25.14,29.36,22.08,87.56,1.23,19.08,1.65
2015-08-12,24.98,28.57,22.45,89.13,2.41,15.29,1.87
2015-08-13,25.19,29.33,22.55,89.31,1.58,14.85,1.7
2015-08-14,24.76,27.47,22.88,91.29,1.14,13.51,1.73
2015-08-15,25.12,29.16,22.37,88.73,1.48,11.38,1.62
2015-08-16,25.5,29.73,22.2,88.09,1.15,16.98,1.46
2015-08-17,25.02,28.45,23.09,90.18,2.84,14.32,1.65
2015-08-18,25.2,28.97,22.93,89.34,2.06,13.36,1.82
2015-08-19,25.08,28.93,22.69,90.52,3.78,12.46,1.5
2015-08-20,24.84,28.12,22.97,90.59,11.88,7.19,1.9
2015-08-21,24.55,27.76,22.73,91.8,14.46,13.15,1.67
2015-08-22,25.13,29.12,22.18,89.18,6.47,13.27,1.45
2015-08-23,23.99,25.76,22.83,94.34,10.14,8.88,1.54
2015-08-24,24.84,28.25,22.32,91.45,4.31,11.95,1.47
2015-08-25,24.96,28.62,22.83,90.79,4.87,13.37,1.62
2015-08-26,25.16,29.01,22.5,89.98,4.18,18.04,1.41
2015-08-27,24.63,27.75,22.89,91.83,6.05,10.57,1.7
2015-08-28,24.51,27.65,22.49,91.17,8.36,13.24,1.63
2015-08-29,24.69,28.37,22.29,90.18,2.6,18.87,1.52
2015-08-30,25.09,29.42,21.73,87.56,0.59,13.44,1.25
2015-08-31,24.57,27.63,22.49,91.23,3.07,12.93,1.46
2015-09-01,24.87,28.87,22.49,88.71,2.64,11.59,2.06
2015-09-02,24.86,29.06,21.92,88.12,1.7,17.66,1.83
2015-09-03,25.26,29.65,22.24,88.39,8.44,15.34,1.44
2015-09-04,24.85,28.28,22.57,90.9,5.94,16.18,1.1
2015-09-05,24.84,27.7,23.04,92.44,8.12,10.33,1.32
2015-09-06,24.55,27.16,22.85,92.91,10.46,9.57,1.59
2015-09-07,24.62,28.0,22.32,91.55,6.71,15.96,1.23
2015-09-08,25.01,29.06,22.03,88.69,3.51,10.79,1.15
2015-09-09,25.3,29.21,22.66,89.23,2.66,19.39,1.77
2015-09-10,25.19,28.96,22.51,89.61,1.46,15.46,1.11
2015-09-11,24.85,27.66,22.93,91.35,1.2,7.58,0.89
2015-09-12,25.37,29.28,22.61,89.68,0.9,17.05,1.29
2015-09-13,25.53,29.62,23.04,89.66,6.89,11.76,1.69
2015-09-14,25.36,28.89,22.97,89.94,4.76,13.16,1.5
2015-09-15,24.93,27.9,23.12,91.55,9.09,16.3,1.71
2015-09-16,24.71,27.52,23.07,92.06,9.64,11.54,1.69
2015-09-17,25.54,29.36,22.53,89.09,6.6,12.63,1.32
2015-09-18,25.21,28.73,23.16,90.49,6.93,11.07,1.74
2015-09-19,25.32,29.21,22.83,89.94,4.37,12.45,1.42
2015-09-20,24.89,28.05,22.64,91.15,9.81,13.0,1.16
2015-09-21,25.19,28.48,22.73,89.86,8.67,8.65,0.99
2015-09-22,25.01,28.08,22.6,91.36,9.03,14.63,1.08
2015-09-23,25.86,29.96,22.86,88.69,2.64,18.41,1.21
2015-09-24,24.82,27.0,23.51,93.8,6.42,12.47,1.05
2015-09-25,24.68,27.16,23.16,92.81,23.72,10.57,1.34
2015-09-26,25.6,29.39,22.56,89.31,1.67,17.37,0.99
2015-09-27,25.93,30.12,23.17,89.04,2.95,19.88,0.94
2015-09-28,25.64,29.04,23.5,90.99,13.97,11.25,1.07
2015-09-29,24.63,26.83,23.16,94.39,11.1,14.33,1.4
2015-09-30,24.95,27.86,22.88,91.94,12.13,10.34,1.17
2015-10-01,25.72,30.16,22.46,89.58,6.06,17.19,1.32
2015-10-02,26.03,30.8,22.97,88.83,4.64,17.61,1.33
2015-10-03,25.55,29.28,22.95,90.14,5.11,18.89,1.32
2015-10-04,25.91,29.78,23.01,88.37,5.38,17.48,0.82
2015-10-05,25.98,29.53,23.51,89.78,6.27,15.63,1.05
2015-10-06,25.77,28.81,23.6,91.09,11.63,18.61,1.1
2015-10-07,24.83,27.0,23.12,93.16,7.57,14.75,0.92
2015-10-08,25.22,29.16,22.44,87.52,2.47,14.18,1.15
2015-10-09,25.48,29.2,22.74,88.8,7.76,18.9,0.97
2015-10-10,25.66,29.44,23.19,87.58,4.01,21.54,0.85
2015-10-11,26.0,30.42,22.13,88.37,5.22,19.74,0.99
2015-10-12,26.06,29.69,23.81,90.0,5.55,21.76,0.89
2015-10-13,25.94,29.55,23.14,90.93,1.57,20.26,1.32
2015-10-14,25.76,28.75,23.77,92.31,2.5,11.78,1.05
2015-10-15,26.05,29.8,22.97,89.46,1.51,21.03,0.83
2015-10-16,26.23,29.94,23.79,90.99,3.16,18.2,1.21
2015-10-17,26.39,30.06,23.69,90.1,3.89,19.36,1.26
2015-10-18,25.67,28.21,23.9,92.84,8.32,16.98,1.16
2015-10-19,25.88,29.12,23.67,92.23,10.08,18.43,1.11
2015-10-20,26.35,30.01,23.68,90.39,6.76,19.46,1.15
2015-10-21,25.52,27.72,23.86,94.35,5.83,11.16,0.97
2015-10-22,25.5,28.77,23.66,93.05,4.93,16.37,1.22
2015-10-23,25.51,28.56,23.16,91.84,2.48,20.64,0.98
2015-10-24,25.98,29.8,23.1,90.11,4.66,16.26,1.2
2015-10-25,25.79,28.7,23.91,91.65,7.37,18.39,1.27
2015-10-26,26.05,29.63,22.86,89.79,4.51,17.25,0.92
2015-10-27,25.34,27.68,23.65,93.36,3.74,4.61,0.95
2015-10-28,25.67,29.22,22.83,89.47,3.44,15.11,0.82
