date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,23.28,30.36,16.76,70.7,0.0,19.4,0.94
2015-01-02,23.94,30.47,17.72,71.43,0.0,20.75,0.96
2015-01-03,22.71,29.97,16.73,64.54,0.0,19.03,1.17
2015-01-04,21.24,29.33,14.11,55.45,0.0,19.69,1.6
2015-01-05,20.78,28.57,13.86,56.72,0.0,17.72,1.43
2015-01-06,20.49,27.57,14.32,59.93,0.0,15.87,1.03
2015-01-07,21.24,28.54,15.89,61.11,0.0,16.74,1.22
2015-01-08,21.55,29.27,14.91,62.33,0.0,18.19,1.16
2015-01-09,20.76,28.72,15.16,56.63,0.0,18.01,1.74
2015-01-10,19.21,28.16,13.13,56.05,0.0,20.3,1.83
2015-01-11,19.45,28.02,12.44,49.95,0.0,18.47,1.61
2015-01-12,19.25,28.74,11.72,52.02,0.0,20.05,1.71
2015-01-13,19.71,27.77,11.5,51.11,0.0,19.62,1.46
2015-01-14,21.28,29.47,13.92,57.7,0.0,19.71,1.3
2015-01-15,22.01,29.58,15.2,64.95,0.0,20.22,1.05
2015-01-16,22.08,30.09,15.58,66.52,0.0,19.5,1.0
2015-01-17,22.82,30.28,15.82,69.76,0.01,18.78,0.75
2015-01-18,23.82,30.68,19.27,79.36,0.06,18.1,0.64
2015-01-19,24.16,30.37,19.54,83.99,0.17,15.81,1.0
2015-01-20,24.64,30.58,19.91,84.24,0.24,15.36,0.91
2015-01-21,25.55,31.58,21.0,81.87,0.0,17.4,0.75
2015-01-22,25.71,31.54,20.97,81.06,0.0,16.41,0.76
2015-01-23,25.91,32.16,21.19,80.54,0.0,15.68,0.76
2015-01-24,25.46,30.43,22.15,85.23,0.0,15.65,1.2
2015-01-25,25.46,30.59,21.26,84.72,0.0,15.0,1.09
2015-01-26,25.42,30.37,22.18,85.5,0.04,15.41,0.82
2015-01-27,25.27,30.37,21.88,85.47,0.03,15.02,0.98
2015-01-28,25.84,31.35,21.71,83.98,0.05,17.84,1.17
2015-01-29,25.82,30.5,22.54,85.44,0.13,16.93,1.0
2015-01-30,26.25,31.18,22.6,83.4,0.14,15.44,0.73
2015-01-31,26.09,30.71,22.23,83.78,0.12,16.92,0.79
2015-02-01,25.59,29.64,23.09,87.6,0.06,16.46,0.58
2015-02-02,26.93,33.22,22.94,81.4,0.05,17.21,0.86
2015-02-03,26.67,31.75,22.81,83.33,0.11,14.46,1.11
2015-02-04,26.82,32.32,22.61,81.41,0.11,15.31,0.88
2015-02-05,26.97,32.29,23.02,82.47,0.04,15.9,1.1
2015-02-06,26.24,30.05,23.36,86.64,0.05,16.75,1.13
2015-02-07,25.98,30.36,22.9,86.72,0.04,14.65,1.08
2015-02-08,26.99,33.33,22.67,80.46,0.03,17.9,1.23
2015-02-09,26.82,31.64,23.68,82.8,0.05,17.54,1.59
2015-02-10,25.74,29.14,23.38,87.76,2.0,16.89,1.09
2015-02-11,26.48,31.56,22.73,83.42,1.49,15.5,1.03
2015-02-12,25.6,29.53,22.83,87.19,2.87,17.63,1.0
2015-02-13,25.41,29.25,22.89,87.47,1.83,17.29,1.05
2015-02-14,25.47,29.03,22.86,89.06,1.95,16.5,1.17
2015-02-15,26.08,30.58,22.98,85.66,0.56,17.55,1.34
2015-02-16,25.32,29.18,22.54,87.99,0.98,18.13,1.28
2015-02-17,25.79,30.7,22.21,86.31,1.56,17.2,1.26
2015-02-18,24.88,27.83,22.96,91.38,3.99,11.89,1.26
2015-02-19,25.1,29.26,21.62,85.29,0.3,18.08,1.11
2015-02-20,25.76,31.01,21.63,83.33,1.42,16.98,1.17
2015-02-21,26.36,31.73,22.21,81.86,1.54,17.63,1.27
2015-02-22,25.42,27.97,23.32,86.75,4.03,16.87,0.95
2015-02-23,25.89,29.51,23.12,84.09,1.53,16.69,0.63
2015-02-24,26.22,31.01,22.92,76.49,0.4,15.51,0.76
2015-02-25,25.93,30.72,22.64,80.92,0.05,16.08,0.73
2015-02-26,25.55,29.68,22.46,86.24,0.04,16.94,0.96
2015-02-27,25.74,29.98,22.87,83.28,0.02,16.54,0.67
2015-02-28,26.15,31.29,22.34,82.13,0.01,19.49,0.65
2015-03-01,26.63,32.69,22.79,79.62,0.01,18.92,0.82
2015-03-02,26.35,32.67,21.86,66.52,0.04,20.13,0.99
2015-03-03,26.42,32.42,21.97,79.93,0.42,18.19,1.15
2015-03-04,27.18,33.84,22.67,76.17,0.28,17.02,0.98
2015-03-05,26.25,31.29,22.47,81.71,0.13,17.44,0.73
2015-03-06,27.23,33.45,23.1,78.49,0.17,17.73,1.04
2015-03-07,26.76,31.96,23.05,82.96,1.6,17.04,1.1
2015-03-08,26.88,32.28,22.97,81.89,1.7,17.25,1.26
2015-03-09,26.4,30.78,23.4,85.83,1.5,18.36,1.01
2015-03-10,26.03,29.73,23.42,87.28,1.52,21.08,1.07
2015-03-11,25.74,29.21,23.65,88.4,2.01,16.62,1.18
2015-03-12,27.31,33.31,22.61,80.64,6.79,21.11,0.88
2015-03-13,27.06,31.86,23.29,82.93,5.14,15.94,0.94
2015-03-14,27.59,33.2,23.62,81.03,3.7,19.02,0.74
2015-03-15,26.6,31.16,23.56,86.61,5.3,14.55,1.06
2015-03-16,25.81,28.24,24.17,90.56,4.95,10.59,1.22
2015-03-17,25.66,28.69,23.48,90.61,31.83,14.54,1.05
2015-03-18,25.99,29.93,23.08,85.1,4.58,13.43,0.68
2015-03-19,25.78,29.5,22.68,89.09,5.27,16.13,0.95
2015-03-20,25.51,28.99,22.88,90.26,11.7,20.73,1.17
2015-03-21,25.29,28.22,23.29,93.42,35.78,13.39,1.2
2015-03-22,25.3,28.72,22.95,90.56,11.61,17.28,0.89
2015-03-23,25.61,29.31,22.94,90.29,4.13,20.11,1.22
2015-03-24,24.94,27.05,23.54,90.98,16.84,18.43,1.18
2015-03-25,25.51,28.66,23.4,91.66,29.9,15.95,1.21
2015-03-26,25.4,28.46,23.32,91.87,15.63,18.79,0.8
2015-03-27,25.48,29.06,22.95,89.6,0.19,17.37,1.28
2015-03-28,25.74,29.09,23.62,89.69,0.22,21.38,1.42
2015-03-29,25.71,28.78,23.78,90.57,0.33,20.01,1.19
2015-03-30,25.98,29.93,22.93,86.6,0.82,15.04,1.01
2015-03-31,24.12,25.66,22.3,90.61,0.29,15.96,0.7
2015-04-01,24.67,28.84,21.42,84.15,0.57,14.32,0.64
2015-04-02,25.46,30.55,21.39,78.13,0.15,16.69,0.86
2015-04-03,25.41,28.88,22.72,89.57,1.54,18.68,0.89
2015-04-04,25.14,27.93,23.45,92.19,4.13,16.89,0.97
2015-04-05,25.13,28.09,23.09,91.36,9.8,19.61,1.16
2015-04-06,25.44,28.98,22.69,89.53,2.36,20.24,1.0
2015-04-07,25.53,29.14,23.04,89.53,1.76,19.5,1.07
2015-04-08,25.48,29.15,22.77,90.48,2.57,17.42,0.98
2015-04-09,25.37,28.34,23.18,90.98,1.5,17.1,1.27
2015-04-10,25.36,28.58,23.2,90.62,2.18,17.85,1.13
2015-04-11,25.66,29.57,22.68,89.25,1.64,15.39,0.77
2015-04-12,25.39,28.51,23.19,90.19,2.61,14.25,0.57
2015-04-13,26.28,30.84,23.14,84.81,0.19,16.15,0.59
2015-04-14,25.96,31.59,21.8,78.07,0.16,14.96,0.65
2015-04-15,26.55,31.83,22.4,83.49,1.05,16.94,0.81
2015-04-16,26.68,31.23,23.13,84.04,0.06,18.23,0.8
2015-04-17,26.98,32.32,22.87,82.73,0.03,18.88,0.79
2015-04-18,26.97,32.15,22.91,83.52,0.02,19.53,0.86
2015-04-19,26.4,30.52,23.24,86.64,0.03,19.96,0.96
2015-04-20,26.19,30.03,23.32,87.34,0.04,20.11,0.86
2015-04-21,26.19,29.69,23.69,89.47,3.18,22.44,0.8
2015-04-22,26.25,29.97,23.45,89.61,4.01,20.49,1.03
2015-04-23,26.17,30.25,22.85,88.29,3.68,20.75,1.3
2015-04-24,25.48,28.58,23.23,91.58,4.15,18.18,1.2
2015-04-25,25.51,28.2,23.7,92.5,6.19,19.41,1.06
2015-04-26,25.3,28.25,23.01,91.3,0.98,15.81,0.99
2015-04-27,25.89,30.48,21.99,85.59,0.71,23.53,0.76
2015-04-28,25.66,29.18,22.85,88.6,0.56,20.55,0.97
2015-04-29,26.27,30.58,22.7,87.63,1.23,23.3,1.11
2015-04-30,25.72,29.32,22.95,89.92,1.84,22.33,1.04
2015-05-01,25.61,28.99,22.97,91.27,6.2,18.84,1.11
2015-05-02,25.7,29.22,22.84,90.54,4.89,17.9,1.15
2015-05-03,25.57,28.32,23.32,92.19,9.22,16.98,1.11
2015-05-04,25.58,28.43,23.27,91.96,8.34,18.09,0.97
2015-05-05,25.12,27.99,23.28,91.18,6.1,5.61,1.23
