date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,26.71,31.3,22.68,81.65,0.0,16.61,0.83
2015-01-02,26.08,31.44,22.4,76.39,0.0,19.7,0.99
2015-01-03,24.09,28.3,20.23,61.66,0.0,18.1,1.3
2015-01-04,22.09,27.4,17.22,64.02,0.0,17.22,1.58
2015-01-05,21.02,26.28,15.75,64.88,0.0,17.12,1.38
2015-01-06,20.83,27.41,15.55,70.04,0.0,17.3,1.2
2015-01-07,22.05,29.29,16.17,70.53,0.0,17.83,1.16
2015-01-08,23.46,28.77,17.52,61.63,0.0,18.02,0.77
2015-01-09,21.82,28.38,16.36,67.66,0.0,19.62,1.63
2015-01-10,20.63,28.7,13.37,66.1,0.0,19.72,1.52
2015-01-11,20.16,27.55,14.19,63.56,0.0,19.09,1.58
2015-01-12,20.0,28.08,13.72,63.78,0.0,19.86,1.73
2015-01-13,21.39,29.3,13.24,61.35,0.0,19.76,1.32
2015-01-14,23.04,30.64,15.84,62.48,0.0,19.86,1.2
2015-01-15,23.94,29.61,16.55,56.85,0.0,21.2,1.23
2015-01-16,24.43,30.85,18.28,59.67,0.0,20.92,1.12
2015-01-17,23.86,30.28,16.46,58.93,0.01,20.84,1.06
2015-01-18,25.23,31.86,19.64,76.24,0.04,20.03,0.72
2015-01-19,26.15,32.26,20.97,82.25,0.18,19.84,0.8
2015-01-20,26.67,32.27,21.76,82.04,0.42,19.87,0.66
2015-01-21,27.21,32.93,22.56,81.66,0.11,18.56,0.73
2015-01-22,27.08,32.13,22.84,83.56,0.04,17.67,1.0
2015-01-23,27.22,32.0,23.28,82.87,0.02,16.97,0.9
2015-01-24,27.03,31.93,23.33,83.72,0.06,16.52,1.11
2015-01-25,26.04,29.51,23.11,88.73,0.1,7.54,0.9
2015-01-26,26.44,30.29,23.24,87.49,0.53,15.9,0.83
2015-01-27,26.1,29.36,23.98,90.05,0.63,14.68,1.07
2015-01-28,26.36,30.16,23.32,87.25,0.65,6.85,0.95
2015-01-29,26.54,30.34,23.23,86.28,0.43,16.4,0.7
2015-01-30,26.84,31.12,23.08,84.98,0.46,16.69,0.75
2015-01-31,27.0,31.54,23.45,84.58,0.01,16.82,0.76
2015-02-01,26.98,31.22,23.34,84.15,0.01,15.37,0.87
2015-02-02,27.39,32.08,23.29,83.32,0.01,19.15,0.8
2015-02-03,27.51,31.94,23.82,84.34,0.04,16.61,1.02
2015-02-04,27.69,32.31,23.95,82.68,0.02,15.17,0.89
2015-02-05,27.38,32.27,23.94,85.48,1.36,17.59,1.02
2015-02-06,27.55,31.82,24.4,86.09,2.5,18.1,1.03
2015-02-07,27.34,31.11,24.5,87.44,1.78,16.87,1.09
2015-02-08,26.67,30.45,24.12,88.93,3.24,7.13,1.22
2015-02-09,27.13,31.92,23.14,84.6,1.21,15.72,0.93
2015-02-10,26.26,29.48,24.09,88.89,0.13,16.93,0.82
2015-02-11,26.97,30.96,23.62,87.11,0.2,14.54,0.76
2015-02-12,26.39,29.08,24.15,90.58,0.31,16.93,0.98
2015-02-13,26.33,30.11,23.88,87.98,0.18,14.66,1.04
2015-02-14,26.45,30.17,23.53,87.01,0.08,19.12,0.99
2015-02-15,27.21,32.16,23.61,83.52,1.35,19.87,1.26
2015-02-16,27.0,31.85,23.7,85.33,1.92,16.1,1.15
2015-02-17,26.91,31.5,23.39,86.86,5.29,16.91,1.1
2015-02-18,26.02,28.82,23.84,88.21,9.0,12.76,0.9
2015-02-19,26.22,30.56,22.96,85.88,0.84,19.62,0.99
2015-02-20,26.73,31.25,23.42,84.84,0.68,15.47,1.27
2015-02-21,26.64,31.06,23.83,86.65,0.88,13.75,1.17
2015-02-22,26.42,30.14,23.91,88.61,3.14,9.2,1.17
2015-02-23,26.46,30.07,24.2,88.5,1.16,18.96,1.12
2015-02-24,26.96,30.51,24.07,87.18,1.59,13.11,0.68
2015-02-25,26.45,29.62,24.22,89.8,0.83,9.84,0.87
2015-02-26,25.92,29.08,23.8,90.42,1.03,9.33,1.0
2015-02-27,25.77,29.13,23.44,90.01,0.5,8.32,0.88
2015-02-28,27.64,32.96,23.5,81.13,0.15,16.57,0.58
2015-03-01,27.45,31.82,23.89,83.13,0.22,18.38,0.74
2015-03-02,27.73,33.03,23.64,81.09,0.07,18.98,0.86
2015-03-03,27.33,31.93,23.57,82.98,0.05,18.76,0.82
2015-03-04,27.34,31.84,23.74,81.97,0.02,12.87,0.79
2015-03-05,27.29,31.91,23.8,82.3,0.02,18.23,0.73
2015-03-06,26.75,30.08,24.03,87.79,0.03,17.41,0.71
2015-03-07,27.68,32.82,23.83,83.64,1.96,18.54,1.01
2015-03-08,27.14,31.67,24.18,86.59,3.68,14.66,1.06
2015-03-09,27.35,31.0,24.68,85.51,4.25,11.34,0.84
2015-03-10,26.71,30.06,24.46,89.57,2.91,18.46,0.79
2015-03-11,26.8,30.29,24.46,86.3,2.82,16.3,0.81
2015-03-12,27.8,32.83,23.9,82.54,0.97,22.48,0.55
2015-03-13,27.33,31.15,24.46,87.18,0.81,18.49,0.89
2015-03-14,28.11,32.49,24.21,83.79,1.02,19.71,0.82
2015-03-15,27.09,30.77,24.82,87.92,2.75,14.64,1.0
2015-03-16,26.56,29.96,24.41,86.88,1.43,13.61,0.81
2015-03-17,25.92,28.15,24.37,93.02,8.23,3.03,0.86
2015-03-18,26.55,29.96,23.77,87.0,2.84,18.11,0.83
2015-03-19,26.82,30.47,24.11,88.61,3.81,19.53,0.93
2015-03-20,26.43,29.33,24.31,91.28,8.85,14.71,0.88
2015-03-21,26.6,29.67,24.51,91.38,51.0,9.33,0.98
2015-03-22,25.99,28.66,24.23,91.27,1.91,10.4,1.1
2015-03-23,26.76,30.23,23.97,87.72,2.42,21.82,0.73
2015-03-24,26.68,30.19,24.36,89.18,4.95,7.4,0.94
2015-03-25,26.9,31.28,23.7,86.13,4.27,11.66,1.07
2015-03-26,26.25,29.89,24.3,88.52,9.6,17.72,1.29
2015-03-27,26.1,29.4,23.81,90.4,3.76,2.57,1.15
2015-03-28,26.21,29.35,23.84,89.53,4.7,19.89,1.05
2015-03-29,26.4,30.02,23.86,89.94,3.31,9.96,1.09
2015-03-30,26.31,29.64,24.01,88.75,12.46,14.12,0.86
2015-03-31,26.37,30.31,23.25,84.92,1.35,13.1,0.65
2015-04-01,26.26,29.87,23.4,87.55,2.0,14.6,0.75
2015-04-02,26.36,29.95,23.44,87.28,2.11,20.46,0.53
2015-04-03,26.12,28.99,24.11,92.13,7.0,16.73,0.86
2015-04-04,26.35,29.67,24.21,91.16,3.72,16.87,0.89
2015-04-05,26.0,28.97,23.87,91.44,4.69,6.03,0.88
2015-04-06,26.65,30.8,23.13,86.62,1.26,19.8,0.81
2015-04-07,26.27,29.86,24.02,88.7,3.21,8.49,0.94
2015-04-08,27.11,32.3,23.06,84.41,1.84,21.55,0.7
