date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,21.79,31.07,14.23,17.92,0.0,17.42,3.47
2015-01-02,21.47,30.38,14.82,18.29,0.0,20.49,3.67
2015-01-03,20.42,28.78,13.75,15.08,0.0,20.06,4.38
2015-01-04,19.96,28.57,13.3,18.69,0.0,19.63,4.3
2015-01-05,19.2,27.96,12.18,20.72,0.0,19.15,3.75
2015-01-06,18.85,27.96,11.57,20.8,0.0,21.52,3.71
2015-01-07,18.88,28.39,11.01,17.49,0.0,20.32,4.07
2015-01-08,18.84,27.65,11.84,20.73,0.0,14.38,3.96
2015-01-09,19.08,27.5,13.05,20.48,0.0,12.11,4.71
2015-01-10,18.4,27.44,11.64,18.25,0.0,16.44,5.02
2015-01-11,17.54,25.94,11.25,18.99,0.0,14.51,3.93
2015-01-12,17.03,26.01,10.94,18.33,0.0,17.27,4.27
2015-01-13,17.02,27.11,8.61,17.7,0.0,22.25,4.39
2015-01-14,18.39,29.31,9.4,20.52,0.0,20.25,3.79
2015-01-15,19.33,29.53,11.25,21.64,0.0,17.76,3.78
2015-01-16,19.23,29.25,11.63,19.78,0.0,18.37,3.37
2015-01-17,19.84,30.66,11.14,16.94,0.0,19.03,2.77
2015-01-18,20.72,31.69,11.81,16.27,0.0,18.97,2.33
2015-01-19,22.24,33.07,12.68,16.34,0.0,19.95,2.05
2015-01-20,23.87,33.88,15.36,15.73,0.0,18.92,1.42
2015-01-21,24.94,35.36,15.81,16.49,0.0,20.94,1.83
2015-01-22,26.08,36.32,18.53,18.63,0.0,20.83,2.42
2015-01-23,25.14,34.02,17.5,19.89,0.0,21.09,2.47
2015-01-24,25.92,36.19,17.07,20.42,0.0,22.02,1.73
2015-01-25,25.67,35.82,16.94,17.69,0.0,22.46,1.85
2015-01-26,25.75,36.65,16.45,16.15,0.0,22.47,2.01
2015-01-27,25.24,35.56,16.75,16.15,0.0,22.04,2.42
2015-01-28,24.46,34.75,16.43,15.16,0.0,21.85,2.81
