date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,24.94,34.75,16.64,38.1,0.0,21.74,2.24
2015-01-02,23.67,33.72,15.32,36.7,0.0,22.41,2.62
2015-01-03,22.69,31.54,15.47,35.94,0.0,19.16,3.04
2015-01-04,22.93,32.18,16.36,33.0,0.0,21.16,3.09
2015-01-05,20.99,29.22,15.07,34.19,0.0,17.72,2.86
2015-01-06,20.61,28.25,13.99,36.39,0.0,17.01,2.57
2015-01-07,21.84,30.62,14.09,35.26,0.0,19.29,2.88
2015-01-08,22.78,32.68,14.94,33.67,0.0,22.25,3.13
2015-01-09,22.02,32.18,13.84,32.02,0.0,22.14,3.56
2015-01-10,20.79,30.38,13.11,30.33,0.0,22.51,3.58
2015-01-11,20.33,30.87,11.93,29.01,0.0,22.0,3.26
2015-01-12,20.02,30.61,11.04,30.15,0.0,22.33,3.28
2015-01-13,20.87,31.85,11.83,29.88,0.0,22.61,2.97
2015-01-14,22.57,33.39,13.44,29.54,0.0,22.45,2.72
2015-01-15,23.35,34.61,14.17,28.18,0.0,23.36,2.95
2015-01-16,23.47,34.5,14.14,29.89,0.0,22.73,2.64
2015-01-17,23.98,35.02,15.17,31.16,0.0,21.94,2.17
2015-01-18,26.05,35.55,17.63,28.81,0.0,22.49,1.48
2015-01-19,25.82,34.38,18.63,28.38,0.0,21.75,1.18
2015-01-20,26.85,35.72,17.81,33.69,0.0,22.03,1.38
2015-01-21,28.08,37.16,19.31,31.36,0.0,21.71,1.3
2015-01-22,28.5,38.32,21.65,26.41,0.0,21.48,1.93
2015-01-23,27.56,38.6,18.63,25.33,0.0,22.7,2.02
2015-01-24,27.45,37.65,19.93,25.86,0.0,22.62,1.18
2015-01-25,27.08,34.93,19.71,55.14,0.0,19.29,1.49
2015-01-26,27.86,35.99,20.75,52.6,0.0,19.45,1.44
2015-01-27,29.5,37.76,21.74,38.39,0.0,18.85,1.14
2015-01-28,28.03,35.89,21.07,43.46,0.0,20.9,1.51
2015-01-29,27.46,35.23,19.97,27.0,0.0,22.65,1.51
2015-01-30,27.88,36.01,20.08,23.51,0.0,22.28,1.1
2015-01-31,28.05,37.09,21.38,27.05,0.0,22.19,1.68
2015-02-01,28.54,38.41,19.72,29.15,0.0,23.51,1.75
2015-02-02,30.19,40.03,21.02,26.68,0.0,19.75,1.44
