date,temp_avg,temp_max,temp_min,humidity,rainfall,solar_radiation,wind_speed
2015-01-01,20.51,28.5,14.15,20.48,0.0,19.5,4.12
2015-01-02,20.35,30.25,12.86,21.42,0.0,20.14,4.12
2015-01-03,19.29,28.55,12.27,19.21,0.0,19.56,5.14
2015-01-04,18.4,27.48,11.55,20.9,0.0,19.13,5.04
2015-01-05,17.5,26.09,11.04,22.59,0.0,15.39,4.57
2015-01-06,17.33,26.55,10.11,24.16,0.0,19.39,4.35
2015-01-07,17.37,26.68,10.2,22.09,0.0,19.8,4.68
2015-01-08,17.41,26.49,10.42,25.21,0.0,12.83,4.69
2015-01-09,16.91,23.94,11.78,23.9,0.0,9.88,5.74
2015-01-10,16.45,25.12,9.97,20.69,0.0,12.26,6.25
2015-01-11,15.53,23.4,9.48,22.17,0.0,16.57,5.06
2015-01-12,15.23,24.54,8.97,21.59,0.0,17.11,5.16
2015-01-13,15.28,25.94,6.97,18.8,0.0,20.55,4.94
2015-01-14,17.41,28.07,9.03,20.73,0.0,21.07,4.67
2015-01-15,18.42,28.47,10.66,23.52,0.0,20.08,4.64
2015-01-16,18.74,28.85,11.12,21.61,0.0,18.99,4.37
2015-01-17,19.32,30.13,11.37,19.78,0.0,19.45,3.37
2015-01-18,20.33,31.35,11.87,18.69,0.0,19.41,2.67
2015-01-19,22.52,32.82,12.42,18.9,0.0,19.47,2.18
2015-01-20,24.3,33.64,16.57,24.3,0.0,17.72,1.68
2015-01-21,24.92,34.39,18.21,22.14,0.0,19.83,1.51
2015-01-22,24.27,34.54,16.58,19.13,0.0,20.3,3.24
2015-01-23,25.17,35.41,16.94,19.85,0.0,21.29,3.22
2015-01-24,25.4,35.3,17.42,23.39,0.0,22.07,2.51
2015-01-25,25.21,35.29,16.13,22.94,0.0,21.72,1.97
2015-01-26,25.12,35.08,16.67,21.47,0.0,21.62,2.45
2015-01-27,25.09,35.36,17.08,19.25,0.0,21.63,2.9
2015-01-28,24.04,34.12,16.29,16.13,0.0,21.74,3.8
2015-01-29,22.35,32.21,14.74,16.14,0.0,21.46,3.77
2015-01-30,22.62,32.4,14.38,18.64,0.0,21.47,2.83
2015-01-31,22.87,30.89,16.04,21.5,0.0,16.77,2.54
2015-02-01,25.7,35.86,16.84,20.42,0.0,20.51,2.23
2015-02-02,26.78,36.56,19.41,18.51,0.0,22.82,2.87
2015-02-03,26.39,36.85,18.03,17.32,0.0,22.18,3.0
2015-02-04,26.93,37.29,18.33,16.98,0.0,22.96,3.17
2015-02-05,27.55,37.66,18.9,17.65,0.0,22.83,2.33
2015-02-06,27.58,37.86,18.52,16.42,0.0,23.73,2.34
2015-02-07,27.86,38.18,19.44,15.62,0.0,23.48,2.62
2015-02-08,28.24,38.79,19.51,14.66,0.0,23.59,3.24
2015-02-09,27.78,38.37,19.21,13.2,0.0,23.16,3.31
2015-02-10,27.59,37.53,18.86,11.64,0.0,23.45,4.0
2015-02-11,26.94,36.85,18.5,13.12,0.0,22.32,4.7
2015-02-12,26.98,36.17,19.54,14.74,0.0,21.25,5.18
2015-02-13,26.16,35.53,19.45,13.92,0.0,22.72,4.23
2015-02-14,26.2,35.78,18.91,14.0,0.0,23.19,2.88
2015-02-15,27.29,36.95,17.52,13.67,0.0,23.46,1.4
2015-02-16,28.46,37.49,21.75,14.75,0.0,22.08,1.4
2015-02-17,27.45,35.91,19.2,17.96,0.0,22.42,1.1
2015-02-18,27.16,36.23,18.54,19.95,0.0,19.72,2.79
2015-02-19,26.64,33.55,20.84,27.3,0.0,18.77,2.15
2015-02-20,27.79,36.61,19.52,20.47,0.0,21.24,2.74
